Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
35,0.193398,0.273563,0.149175,0.007092,0.301075,0.25641,0.21712,0.0,0.451613,0.704918,0.396907,0.253968,0.46,0.49817,Wellington Rato,São Paulo,São Paulo,"RAMF, RW",RAMF,10,32,1200000,2026-12-31,16,885,Brazil,Brazil,left,172,77,no,BRA1,Testing,2024,Extremo Agudo,0.498,36,58,37,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,53,46.0,51,56.5,40.0,40.0,47,54.0,13.5,9.0,31.0,35.5,11.0,8,20,12,2,31,31,18,6,76,84,46,38,81
36,0.001496,0.183908,0.047618,0.035461,0.11828,0.384615,0.22714,0.157892,0.548387,0.978142,0.350515,0.497354,0.31,0.4959,Shaylon,Atlético GO,Atlético GO,"RWF, RW, LCMF",RWF,11,27,2000000,2025-12-31,24,1941,Brazil,Brazil,left,178,70,no,BRA1,Testing,2024,Extremo Agudo,0.496,37,58,36,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,57,54.0,55,53.0,55.0,25.0,45,45.0,10.0,2.0,36.0,11.5,24.0,1,6,5,8,5,56,22,22,82,96,37,80,58
37,0.387141,0.533333,0.527627,0.056738,0.502688,0.25641,0.682709,0.260883,0.064516,0.333333,0.412371,0.619048,0.2,0.492601,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LAMF, LW, LWF",LAMF,10,25,7000000,2026-06-30,18,1039,Brazil,Brazil,right,181,75,no,BRA1,Testing,2024,Extremo Agudo,0.493,38,58,34,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,31,17.5,18,50.0,13.5,40.0,11,28.0,53.5,38.0,30.0,7.0,34.5,46,69,68,13,76,31,81,51,7,34,48,87,40
38,0.233373,0.202299,0.115503,0.021277,0.395161,0.435897,0.780051,0.230762,0.322581,0.721311,0.592784,0.116402,0.09,0.487671,Ó. Romero,Botafogo,Botafogo,"RW, RAMF",RW,10,32,2000000,2024-12-31,17,761,Paraguay,Paraguay,left,176,73,no,BRA1,Testing,2024,Extremo Agudo,0.488,39,58,32,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,49,52.0,54,54.0,25.0,18.5,6,32.0,24.0,8.0,14.5,52.0,49.5,15,10,6,6,56,68,89,44,58,86,75,10,14
39,0.359392,0.310345,0.466189,0.255319,0.163978,0.358974,0.386944,0.444454,0.129032,0.142077,0.391753,0.333333,0.0,0.469943,Clayson,Cuiabá,Cuiabá,"LW, LAMF, LWF",LW,10,29,1000000,2025-12-31,20,1191,Brazil,Brazil,right,166,63,no,BRA1,Testing,2024,Extremo Agudo,0.47,40,58,31,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,37,44.0,23,35.5,52.0,27.5,33,13.5,46.5,52.0,32.0,28.0,58.0,36,24,60,38,10,52,43,76,19,10,44,51,0
40,0.439413,0.54023,0.576432,0.439716,0.454301,0.333333,0.583875,0.214292,0.032258,0.163934,0.453608,0.375661,0.24,0.458245,Arthur Gomes,Dinamo Moskva,Cruzeiro,LWF,LWF,11,26,3000000,2029-06-30,21,1399,Brazil,Brazil,right,174,69,no,BRA1,Testing,2024,Extremo Agudo,0.458,41,58,29,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,26,15.5,16,19.0,19.0,29.5,17,36.0,56.0,51.0,26.5,20.5,29.0,55,73,72,67,67,49,70,37,3,12,54,64,50
41,0.368645,0.2,0.206511,0.134752,0.373656,0.128205,0.192468,0.0,0.451613,0.480874,0.164948,0.428571,0.41,0.44095,Marquinhos Gabriel,Criciúma,Criciúma,"RW, AMF, LW",RW,10,34,400000,2024-12-31,19,959,Brazil,Brazil,left,174,70,no,BRA1,Testing,2024,Extremo Agudo,0.441,42,58,27,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,35,53.0,48,47.0,31.0,56.0,48,54.0,13.5,25.0,51.0,17.0,16.5,39,8,17,18,46,3,17,6,76,56,12,70,71
42,0.803731,0.443678,0.862484,0.51773,0.287634,0.179487,0.481024,0.200012,0.16129,0.442623,0.376289,0.42328,0.12,0.438915,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,BRA1,Testing,2024,Extremo Agudo,0.439,43,58,25,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,4,27.0,5,14.5,42.0,52.0,26,39.5,43.0,29.0,34.0,18.0,46.5,93,53,91,75,27,10,55,31,25,50,41,68,19
43,0.616863,0.487356,0.504163,0.609929,0.174731,0.461538,0.519386,0.200012,0.16129,0.437158,0.149485,0.132275,0.23,0.434875,J. Arias,Fluminense,Fluminense,"RW, LAMF, RAMF",RW,10,26,14000000,2026-06-30,14,1422,Colombia,Colombia,right,168,70,no,BRA1,Testing,2024,Extremo Agudo,0.435,44,58,24,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,12,23.0,20,9.5,51.0,14.0,23,39.5,43.0,30.0,52.0,48.5,30.5,79,60,65,83,12,75,60,31,25,48,10,16,47
44,0.252857,0.377011,0.207798,0.262411,0.475806,0.282051,0.217447,0.399994,0.064516,0.174863,0.28866,0.253968,0.25,0.429676,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,22,1779,Brazil,Brazil,left,194,84,yes,BRA1,Testing,2024,Extremo Agudo,0.43,45,58,22,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,48,36.0,47,33.5,16.5,35.5,46,17.5,53.5,50.0,45.0,35.5,28.0,17,37,18,42,71,38,20,69,7,13,22,38,51
