Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.641278,0.417476,0.442974,0.709688,0.856606,0.473392,0.053381,0.108973,0.03169,0.444015,0.742318,1.0,Gabriel,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,32,1800000,2025-12-31,11,939,Brazil,"Brazil, Italy",right,170,69,yes,BRA1,Testing,2024,Primeiro Volante Equilibrado,1.0,1,44,97,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,5.0,11,14,7,5,14,38.0,35,40,13.0,3,88,75,68,84,88,68,13,20,9,70,93
1,0.044226,0.0618,0.465718,0.76943,0.929492,0.972486,0.669039,0.490116,0.704928,0.799228,0.836268,0.970722,Fernandinho,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,39,400000,2024-12-31,18,1522,Brazil,Brazil,right,179,67,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.971,2,44,95,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,42.0,42,11,5,3,2,5.0,12,5,3.0,2,4,4,75,88,93,95,88,72,88,93,95
2,0.807125,0.569849,0.555379,0.42542,0.541274,0.383758,0.234875,0.37886,0.258087,0.11583,0.372534,0.889404,Mateus Carvalho,Vasco da Gama,Vasco da Gama,"LDMF, LCMF",LDMF,7,22,800000,2027-12-31,20,1483,Brazil,Brazil,left,174,74,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.889,3,44,93,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,2.0,5,8,23,21,19,18.5,18,22,41.0,17,95,88,81,47,52,56,57,59,50,6,61
3,0.60688,0.529049,0.200282,0.782131,0.46853,0.466559,0.338078,0.223359,0.422852,0.223938,0.291312,0.849964,Hugo Moura,Vasco da Gama,Vasco da Gama,"RDMF, RCMF",RDMF,7,26,1500000,2026-06-30,17,1237,Brazil,Brazil,right,182,79,yes,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.85,4,44,90,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,7.0,6,29,4,24,15,11.5,28,14,33.0,27,84,86,34,90,45,65,73,36,68,25,38
4,0.511057,0.467971,0.350263,0.644155,0.636385,0.474013,0.088968,0.211552,0.188927,0.150579,0.35315,0.837709,L. Romero,Cruzeiro,Cruzeiro,DMF,DMF,7,30,3200000,2025-12-31,22,1860,Argentina,"Argentina, Italy",right,170,68,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.838,5,44,88,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,13.0,9,19,13,12,13,37.0,30,28,40.0,19,70,79,56,70,72,70,15,31,36,9,56
5,0.574939,0.346162,0.292929,0.666829,0.402481,0.54966,0.782918,0.63872,0.751533,0.474903,0.385588,0.819392,Gabriel Menino,Palmeiras,Palmeiras,"LDMF, LAMF, RCMF",LDMF,7,23,9000000,2027-12-31,19,1026,Brazil,Brazil,right,180,78,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.819,6,44,86,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,9.5,17,23,12,30,5,2.0,5,3,11.0,15,78,61,47,72,31,88,95,88,93,75,65
6,0.110565,0.113075,0.17405,0.978183,0.721871,0.763644,0.160142,0.0,0.0,0.436293,0.635846,0.796612,Marlon Freitas,Botafogo,Botafogo,"LDMF, LCMF, RCMF",LDMF,7,29,3500000,2025-12-31,23,1838,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.797,7,44,84,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,40.0,37,35,2,7,3,29.0,44,44,14.0,5,9,15,20,95,84,93,34,0,0,68,88
7,0.694103,0.651703,0.239712,0.611214,0.513145,0.407009,0.113879,0.059681,0.06651,0.320463,0.351607,0.793777,Jadsom Silva,Red Bull Bragantino,Red Bull Bragantino,"DMF, RB, RDMF",DMF,7,23,4000000,2025-12-31,18,1083,Brazil,Brazil,right,173,67,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.794,8,44,81,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,4.0,2,27,14,22,18,34.0,40,38,22.0,20,90,95,38,68,50,59,22,9,13,50,54
8,0.484029,0.172661,0.846991,0.419955,0.600306,0.341568,0.19573,0.220977,0.204349,0.227799,0.326426,0.790907,Thiago Maia,Internacional,Internacional,"LDMF, DMF, LCMF",LDMF,7,27,6000000,2026-12-31,17,1371,Brazil,Brazil,left,179,79,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.791,9,44,79,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,16.0,33,2,24,17,23,24.0,29,25,31.5,24,63,25,95,45,61,47,45,34,43,28,45
9,0.0,0.076483,0.275605,0.485336,0.919833,1.0,1.0,1.0,0.914752,0.969112,1.0,0.765889,N. de la Cruz,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,18000000,2028-06-30,10,862,Uruguay,Uruguay,right,167,65,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.766,10,44,77,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,44.0,41,24,20,4,1,1.0,1,2,2.0,1,0,6,45,54,90,97,97,97,95,95,97
10,0.42629,0.208287,0.341777,0.692338,0.607369,0.554205,0.202847,0.15469,0.211868,0.285714,0.522483,0.747057,A. Moreno,Palmeiras,Palmeiras,"RDMF, LCMF, DMF",RDMF,7,25,10000000,2028-12-31,21,1710,Argentina,Argentina,right,178,73,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.747,11,44,75,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,23.0,28,20,10,15,4,22.0,31,24,26.0,9,47,36,54,77,65,90,50,29,45,40,79
11,0.458231,0.192859,0.82063,0.323,0.457597,0.327817,0.220641,0.527991,0.341225,0.316602,0.272766,0.698406,Danilo Barbosa,Botafogo,Botafogo,"RDMF, RCMF, LCMF",RDMF,7,28,2500000,2025-06-30,22,1203,Brazil,Brazil,right,183,74,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.698,12,44,72,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,18.0,30,4,32,25,28,21.0,10,18,23.0,28,59,31,90,27,43,36,52,77,59,47,36
12,0.444717,0.300626,0.742174,0.209952,0.628393,0.338417,0.0,0.045914,0.01762,0.200772,0.441968,0.69465,E. Pulgar,Flamengo,Flamengo,"RDMF, RCMF, LDMF",RDMF,7,30,5000000,2025-12-31,13,1047,Chile,Chile,right,187,74,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.695,13,44,70,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,20.0,23,5,41,14,25,43.5,42,41,34.0,14,54,47,88,6,68,43,1,4,6,22,68
13,0.502457,0.406634,0.479957,0.440788,0.224755,0.248507,0.117438,0.229914,0.153059,0.366795,0.301271,0.677873,Erick,Athletico Paranaense,Athletico Paranaense,"RDMF, RCMF, RB",RDMF,7,26,4000000,2026-12-31,22,1885,Brazil,Brazil,right,176,67,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.678,14,44,68,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,14.0,13,10,21,36,32,33.0,27,31,19.0,25,68,70,77,52,18,27,25,38,29,56,43
14,0.481572,0.58398,0.395942,0.414182,0.218386,0.360313,0.686833,0.541585,0.452518,0.509653,0.272753,0.664472,R. Ríos,Palmeiras,Palmeiras,"RDMF, LCMF, AMF",RDMF,7,24,10000000,2026-12-31,13,955,Colombia,Colombia,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.664,15,44,65,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,17.0,4,17,26,37,21,4.0,9,11,9.0,29,61,90,61,40,15,52,90,79,75,79,34
15,0.610565,0.273359,1.0,0.311844,0.0,0.125936,0.103203,0.054506,0.000643,0.0,0.11461,0.661874,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF",DMF,7,32,400000,2024-12-31,6,621,Uruguay,Uruguay,right,186,78,no,BRA1,Testing,2024,Primeiro Volante Equilibrado,0.662,16,44,63,0.403256,0.308853,0.350685,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,6.0,25,1,34,44,39,36.0,41,43,44.0,39,86,43,97,22,0,11,18,6,2,0,11
