Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
26,M. Araújo,São Paulo,São Paulo,"LAMF, LWB, LB",LAMF,10,27,1500000,2027-12-31,18,941,Uruguay,Uruguay,left,178,74,no,8.89,5.2625,7.654768000000001,3.919236,3.345307,0.15,0.12,BRA1,Testing,2024,0.8774364485389217,0.8855074401811421,0.8814719443600318
27,Carlos Eduardo,Vitória,Vitória,"LW, LAMF, RWF",LW,10,28,900000,2024-12-31,11,605,Brazil,Brazil,right,173,68,no,7.44,4.906088,2.38,1.784,4.313988,0.2,0.07,BRA1,Testing,2024,0.399888296029949,0.4234737187081397,0.4116810073690443
28,Luiz Fernando,Atlético GO,Atlético GO,"LWF, LAMF, LW",LWF,11,28,1500000,2024-12-31,26,2402,Brazil,Brazil,right,178,65,no,4.68,2.246774,3.371874,2.469528,3.711232000000001,0.23,0.04,BRA1,Testing,2024,0.3102272629720106,0.3101917050287655,0.3102094840003881
29,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,29,1935,Brazil,Brazil,right,174,79,no,4.74,2.694096,3.439703999999999,1.16481,2.4654,0.14,0.09,BRA1,Testing,2024,0.2361681650419099,0.2174998961565726,0.2268340305992412
30,André Luis,Cuiabá,Cuiabá,"RAMF, CF, LW",RAMF,10,27,800000,2026-12-31,19,596,Brazil,Brazil,left,179,70,no,4.83,3.017466,3.021489000000001,2.264331,3.927021,0.08,0.0,BRA1,Testing,2024,0.3309014158158906,0.3206490253740918,0.3257752205949912
31,Shaylon,Atlético GO,Atlético GO,"RWF, RW, LCMF",RWF,11,27,2000000,2025-12-31,29,2044,Brazil,Brazil,left,178,70,no,4.36,1.93968,6.82371,4.3628,1.055171,0.17,0.2,BRA1,Testing,2024,0.6344644129149641,0.6572678203101149,0.6458661166125395
32,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,28,2361,Brazil,Brazil,left,184,78,no,5.72,3.618306,8.688581000000001,4.608534,4.992718,0.09,0.1,BRA1,Testing,2024,0.7985742022788207,0.8317575598941125,0.8151658810864666
33,Edson Carioca,Juventude,Juventude,"LAMF, LW, CF",LAMF,10,27,100000,2024-12-31,11,522,Brazil,Brazil,right,179,83,yes,9.48,5.5168,3.445368,1.38187,6.205030000000001,0.21,0.04,BRA1,Testing,2024,0.4228678090407147,0.4566233919926622,0.4397456005166885
34,Y. Soteldo,Grêmio,Grêmio,"LWF, LAMF, LW",LWF,11,27,7000000,2027-06-30,18,1404,Venezuela,Venezuela,left,160,54,no,3.08,1.9902,4.681172,3.843192,7.756611,0.16,0.24,BRA1,Testing,2024,0.5189813521519978,0.5622845951223682,0.540632973637183
35,Gustavo Silva,Vitória,Vitória,"RAMF, RW, RWF",RAMF,10,27,1500000,2026-12-31,17,966,Brazil,Brazil,right,168,63,no,3.73,2.140611,3.3552,2.51775,3.259450000000001,0.2,0.14,BRA1,Testing,2024,0.2945854900052072,0.301493522231754,0.2980395061184806
36,J. Arias,Fluminense,Fluminense,"RAMF, RW, LAMF",RAMF,10,27,14000000,2026-06-30,21,2090,Colombia,Colombia,right,168,70,no,5.81,3.44469,4.776982,2.367387,5.857456,0.19,0.09,BRA1,Testing,2024,0.4944084568407978,0.5207942630762713,0.5076013599585345
37,Matheuzinho,Vitória,Vitória,"RW, CF, AMF",RW,10,27,1500000,2025-12-31,28,2381,Brazil,Brazil,right,165,59,no,4.61,2.420775,5.59764,2.644452,4.838556,0.12,0.19,BRA1,Testing,2024,0.4413174046488898,0.5070233460822712,0.4741703753655805
