Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
47,Samuel Xavier,Fluminense,Fluminense,RB,RB,1,34,400000,2025-12-31,18,1674,Brazil,Brazil,right,166,67,no,8.44,5.054504,0.6466019999999999,1.289211,3.654308,8.97465,1.29,2.098636,0.86,0.535262,1.4,0.38,0.06,0.54,3.655,0.32,0.59,0.539152,BRA1,Testing,2024,0.1976949492154441,0.1815835433192037,0.1896392462673239
48,João Lucas,Juventude,Juventude,RB,RB,1,26,1700000,2025-12-31,18,1692,Brazil,Brazil,right,181,72,yes,8.78,4.999145,0.744168,1.49076,5.587592,7.874679,3.56,3.034810999999999,0.96,1.649418,1.97,0.69,0.09,0.85,2.181333,0.21,1.7,1.70313,BRA1,Testing,2024,0.5219554232145216,0.5687195055490067,0.5453374643817641
49,Ayrton Lucas,Flamengo,Flamengo,LB,LB,1,27,8000000,2027-12-31,21,1693,Brazil,Brazil,left,180,72,no,6.38,3.346356,1.117,1.383492,4.676922999999999,11.481656,3.03,2.659602,1.54,1.703358,2.02,0.53,0.07,0.74,3.829408,0.48,1.06,1.48626,BRA1,Testing,2024,0.6440633446457908,0.6859792283202032,0.665021286482997
50,João Pedro,Grêmio,Grêmio,RB,RB,1,27,4000000,2025-12-31,18,1694,Brazil,Brazil,right,179,75,no,6.69,2.976116,1.167052,1.914705,5.313264,7.227284999999999,2.5,3.028727,1.22,1.965384,1.86,0.32,0.08,0.53,3.669587999999999,0.64,0.32,0.9019019999999999,BRA1,Testing,2024,0.4327640159390205,0.4719922014577062,0.4523781086983634
51,Welington,São Paulo,São Paulo,"LB, LWB",LB,1,23,3500000,2024-12-31,20,1702,Brazil,Brazil,left,177,73,no,7.72,3.860698999999999,1.3222,2.007888,4.650218,8.723975000000001,2.43,3.329202,0.63,1.431,2.06,0.63,0.04,0.58,4.340292,0.58,0.69,1.270984,BRA1,Testing,2024,0.4198479713562454,0.4683689659845789,0.4441084686704121
52,Alan Ruschel,Juventude,Juventude,LB,LB,1,35,200000,2024-12-31,18,1722,Brazil,Brazil,left,176,72,no,8.41,4.178129999999999,0.783918,1.307776,5.907094000000001,8.729968,1.31,1.727,0.37,0.62604,1.25,0.16,0.02,0.68,3.44844,0.21,0.52,0.887736,BRA1,Testing,2024,0.1964302259060113,0.1780068376868795,0.1872185317964454
53,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,22,3000000,2028-06-30,20,1778,Argentina,Argentina,left,183,69,no,8.35,4.252776,1.212882,2.52909,8.40513,15.689795,3.09,2.329566,0.81,1.4645,1.57,0.1,0.14,1.01,5.163271,0.61,1.21,1.77375,BRA1,Testing,2024,1.0,1.0,1.0
54,Willean Lepo,Vitória,Vitória,"RB, RCB",RB,1,27,450000,2026-12-31,21,1839,Brazil,Brazil,right,180,78,no,11.16,5.381579,1.958071,1.666,5.189788999999999,9.055184,3.52,3.572829,0.93,2.347897999999999,2.3,0.73,0.08,0.64,2.837127999999999,0.39,0.83,0.8321640000000001,BRA1,Testing,2024,0.4442065143867733,0.4783367953722961,0.4612716548795347
55,Lucas Piton,Vasco da Gama,Vasco da Gama,LB,LB,1,23,7000000,2028-12-31,19,1841,Brazil,"Brazil, Italy",left,175,64,no,8.07,4.354136,1.1708,2.104011,5.625535999999999,9.481476,3.32,1.809276,0.78,1.075536,1.91,0.24,0.2,1.37,2.345826,0.39,2.15,2.299178,BRA1,Testing,2024,0.5558425982811555,0.7094276900603266,0.632635144170741
56,Hugo,Corinthians,Corinthians,"LB, LWB",LB,1,27,1500000,2026-12-31,22,1951,Brazil,Brazil,left,179,73,no,9.6,5.260403999999999,2.81526,1.4769,5.167164000000001,7.612560000000001,0.78,1.01518,1.2,0.460023,0.74,0.14,0.05,0.51,3.183446,0.28,0.18,0.229573,BRA1,Testing,2024,0.1874609662736731,0.1711950248338353,0.1793279955537542
57,Paulo Henrique,Vasco da Gama,Vasco da Gama,RB,RB,1,28,1000000,2027-12-31,23,1982,Brazil,Brazil,right,175,74,no,10.17,5.496260000000001,0.905628,2.045,5.264214000000001,8.676948,3.41,3.358693,1.0,1.950339,2.5,0.59,0.12,0.86,2.818719,0.41,1.18,1.405852,BRA1,Testing,2024,0.5574357827066494,0.5989750738670071,0.5782054282868283
58,Tinga,Fortaleza,Fortaleza,RB,RB,1,31,1200000,2026-04-30,22,2011,Brazil,Brazil,right,179,78,no,8.28,3.310106999999999,3.134523,3.1328,7.1175,10.611125,1.92,1.299441,0.9,0.7588750000000001,1.03,0.4,0.06,0.81,3.98336,0.4,0.81,1.25307,BRA1,Testing,2024,0.5889465036411115,0.5419849571272221,0.5654657303841668
59,William,Cruzeiro,Cruzeiro,RB,RB,1,29,3000000,2026-12-31,22,2150,Brazil,Brazil,right,176,68,no,11.93,6.361992,1.044126,2.554308,6.150458,11.01208,3.27,2.17568,1.47,1.4677,2.47,0.46,0.12,1.0,3.473037,0.67,1.3,1.8018,BRA1,Testing,2024,0.8067270371585826,0.8341463714945877,0.8204367043265852
60,Marcelo Hermes,Criciúma,Criciúma,"LB, LW, LCMF",LB,1,29,450000,2024-12-31,22,2170,Brazil,Brazil,left,177,72,no,8.34,3.816623999999999,1.24232,1.8675,5.26645,6.010716,1.49,1.16144,1.24,0.496405,1.12,0.17,0.08,1.12,2.444964,0.54,0.71,0.9548000000000001,BRA1,Testing,2024,0.3622012426414902,0.3239303151325645,0.3430657788870274
61,Lucas Esteves,Vitória,Vitória,LB,LB,1,24,1200000,2025-12-31,23,2172,Brazil,Brazil,left,171,68,no,7.54,4.100454,1.700237,1.161276,5.219200000000001,8.614828,2.2,1.821296,0.95,0.826708,0.95,0.41,0.07,0.75,3.152975,0.21,1.16,0.91096,BRA1,Testing,2024,0.3376903451612185,0.3188074112592608,0.3282488782102396
62,Luciano Juba,Bahia,Bahia,LB,LB,1,25,2500000,2027-12-31,24,2206,Brazil,Brazil,left,176,70,no,7.87,2.529135,0.8181,2.365182,7.712929,18.395712,1.8,0.572402,0.45,0.486691,1.02,0.2,0.11,1.14,3.832962,0.61,1.06,1.387452,BRA1,Testing,2024,0.7893174281455593,0.7782476320116386,0.783782530078599
63,Guilherme Romão,Atlético GO,Atlético GO,LB,LB,1,26,400000,2028-12-31,23,2295,Brazil,Brazil,left,176,75,no,7.37,3.570758,2.0776,2.3533,6.121386999999999,8.081738,2.67,2.667555,1.73,1.255632,1.92,0.59,0.11,0.82,3.918303,0.31,0.98,0.94,BRA1,Testing,2024,0.5627069385567414,0.5250380450570281,0.5438724918068847
