Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
20,0.601436,0.328078,0.576028,0.30131,0.340695,0.498682,0.198665,0.0,0.297214,0.270242,0.695642,T. Cardona,Fortaleza,Fortaleza,LCB,LCB,4,28,1800000,2026-12-31,13,1220,Argentina,"Argentina, Spain",left,185,79,no,BRA1,Testing,2024,Zagueiro Construtor,0.696,21,68,69,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,29.0,42,23,25,41,17,48,63.0,21.5,44,57,38,66,63,39,75,29,7,68,35
21,0.868941,0.731667,0.767758,0.000407,0.193973,0.007037,0.369753,0.0,0.126935,0.0,0.684075,Rodrigo Sam,Juventude,Juventude,"LCB, RCB",LCB,4,29,50000,2025-12-31,12,870,Brazil,Brazil,right,187,86,no,BRA1,Testing,2024,Zagueiro Construtor,0.684,22,68,67,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,5.0,5,8,67,56,67,23,63.0,51.0,68,92,92,88,1,17,1,66,7,25,0
22,0.427289,0.165424,0.754505,0.46541,0.547137,0.414809,0.362389,0.415385,0.083591,0.285314,0.659718,Antônio Carlos,Fluminense,Fluminense,"RCB, LCB",RCB,4,31,1800000,2026-12-31,11,1014,Brazil,Brazil,right,190,79,no,BRA1,Testing,2024,Zagueiro Construtor,0.66,23,68,66,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,51.0,59,11,13,16,25,24,26.5,58.0,42,25,13,83,80,76,63,64,61,14,38
23,0.473968,0.331489,0.600727,0.17046,0.561131,0.346606,0.342355,0.452308,0.643963,0.40735,0.659102,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,24,1500000,2028-12-31,22,2122,Brazil,Brazil,right,190,84,no,BRA1,Testing,2024,Zagueiro Construtor,0.659,24,68,64,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,42.0,41,20,49,15,33,25,20.0,2.0,23,38,39,70,27,77,51,63,70,97,66
24,0.233393,0.148747,0.427756,0.670749,0.639941,0.741307,0.204693,0.204409,0.278638,0.616481,0.644881,Alan Empereur,Cuiabá,Cuiabá,LCB,LCB,4,30,750000,2024-12-31,21,2004,Brazil,"Brazil, Italy",left,186,82,no,BRA1,Testing,2024,Zagueiro Construtor,0.645,25,68,63,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,63.0,62,40,3,8,6,46,44.0,25.0,5,7,8,41,95,88,91,32,35,63,92
25,0.472172,0.322537,0.080974,0.582572,0.469169,0.691869,0.534606,0.811043,0.25387,0.777885,0.635628,Léo Pereira,Flamengo,Flamengo,"LCB, LB",LCB,4,28,8000000,2027-12-31,19,1536,Brazil,Brazil,left,189,79,no,BRA1,Testing,2024,Zagueiro Construtor,0.636,26,68,61,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,44.0,44,64,8,22,8,11,6.0,29.0,3,35,35,5,88,67,88,83,91,57,95
26,0.54219,0.296633,0.372767,0.32783,0.403061,0.686136,0.264634,0.415385,0.182663,0.488791,0.630976,Adriano Martins,Atlético GO,Atlético GO,RCB,RCB,4,27,500000,2024-12-31,23,2293,Brazil,Brazil,right,193,87,no,BRA1,Testing,2024,Zagueiro Construtor,0.631,27,68,60,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,32.0,47,50,20,31,9,36,26.5,39.5,13,52,30,26,70,54,86,47,61,41,80
27,0.752244,0.620608,0.555399,0.022228,0.246159,0.281351,0.674211,0.846154,0.340557,0.320285,0.621742,Caio Vinícius,Vitória,Vitória,"RCB, LCMF",RCB,4,25,1500000,2024-12-31,10,657,Brazil,Brazil,right,187,80,no,BRA1,Testing,2024,Zagueiro Construtor,0.622,28,68,58,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,13.0,14,24,65,52,43,5,5.0,16.0,37,80,79,64,4,23,36,92,92,76,45
28,0.685817,0.536167,0.659148,0.255798,0.384484,0.275258,0.124007,0.123077,0.049536,0.144257,0.620369,Gustavo Martins,Grêmio,Grêmio,"LCB, RCB",LCB,4,22,3000000,2027-12-31,14,1144,Brazil,Brazil,right,191,77,no,BRA1,Testing,2024,Zagueiro Construtor,0.62,29,68,57,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,16.0,20,16,31,32,44,58,54.5,62.0,58,76,70,76,54,52,35,14,19,8,14
29,0.520646,0.610319,0.078407,0.189309,0.343271,0.591723,0.521004,1.0,0.55418,0.557654,0.599032,Robert Renan,Al Shabab,Internacional,"LCB, LB",LCB,4,20,0,,12,1106,Brazil,Brazil,left,186,78,no,BRA1,Testing,2024,Zagueiro Construtor,0.599,30,68,55,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,37.0,15,65,44,39,13,12,1.0,6.0,8,45,77,4,35,42,80,82,98,91,88
