Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
60,0.546498,0.1219,0.155868,0.208403,0.09702,0.322464,0.102548,0.262467,0.166667,0.777778,0.289157,0.122247,0.351562,0.444444,0.477818,0.296956,Vanderlan,Palmeiras,Palmeiras,"LB, LWB",LB,1,22,4000000,2028-12-31,20,1007,Brazil,Brazil,left,184,74,no,BRA1,Testing,2024,Lateral Ofensivo,0.297,61,76,19,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,22.0,71,70,45.0,59,40.0,46.0,43.5,55.0,6.5,46.0,74,40.5,30.0,21.0,71,6,7,40,22,47,39,42,27,91,39,2,46,60,72
61,0.15729,0.298841,0.310466,0.248739,0.284542,0.355072,0.277417,0.440945,0.212963,0.333333,0.204819,0.372577,0.46875,0.095238,0.292955,0.29391,João Pedro,Grêmio,Grêmio,RB,RB,1,27,4000000,2025-12-31,25,2386,Brazil,Brazil,right,179,75,no,BRA1,Testing,2024,Lateral Ofensivo,0.294,62,76,18,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,70.0,47,52,36.0,18,32.0,12.0,21.0,45.0,50.5,64.5,44,22.0,72.0,52.0,7,38,31,52,76,57,84,72,40,33,15,42,71,5,31
62,0.712974,0.059215,0.101567,0.258824,0.456586,0.474638,0.303643,0.622047,0.564815,0.388889,0.222892,0.304145,0.34375,0.248677,0.212598,0.288654,Kaiki,Cruzeiro,Cruzeiro,LB,LB,1,21,0,,15,1030,Brazil,Brazil,left,172,69,no,BRA1,Testing,2024,Lateral Ofensivo,0.289,63,76,17,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,8.0,74,73,34.0,4,20.0,10.0,5.0,11.5,41.5,61.0,58,42.0,54.5,69.0,89,2,3,55,94,73,86,93,84,45,19,23,44,28,9
63,0.270953,0.378011,0.352651,0.146218,0.174817,0.394928,0.034046,0.173228,0.444444,0.277778,0.198795,0.208593,0.28125,0.455026,0.386527,0.277635,Fábio,Grêmio,Grêmio,"RB, LB, RWB",RB,1,34,500000,2024-12-31,12,745,Brazil,"Brazil, Portugal",right,172,66,no,BRA1,Testing,2024,Lateral Ofensivo,0.278,64,76,15,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,58.0,34,43,56.0,47,28.0,65.0,59.5,21.5,60.5,67.0,70,52.5,27.5,36.0,23,55,43,26,38,63,14,21,71,20,11,7,30,63,52
64,0.547646,0.248201,0.334324,0.0,0.063447,0.431159,0.029018,0.07874,0.12963,0.333333,0.240964,0.359343,0.210938,0.0,0.0,0.27718,Hugo,Corinthians,Corinthians,"LB, LWB",LB,1,27,1500000,2026-12-31,23,1966,Brazil,Brazil,left,179,73,no,BRA1,Testing,2024,Lateral Ofensivo,0.277,65,76,14,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,21.0,53,46,76.0,67,24.0,68.0,72.0,63.5,50.5,56.5,46,61.5,76.0,76.0,72,30,39,0,11,68,10,5,16,33,25,39,19,0,0
65,0.117107,0.222357,0.30024,0.183193,0.259399,0.202899,0.1589,0.566929,0.935185,0.5,0.349398,0.495175,0.398438,0.296296,0.305185,0.261369,Diogo Barbosa,Fluminense,Fluminense,LB,LB,1,32,600000,2024-12-31,20,1599,Brazil,Brazil,left,179,70,no,BRA1,Testing,2024,Lateral Ofensivo,0.261,66,76,13,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,72.0,59,54,50.0,28,61.0,35.0,8.0,2.0,29.0,39.0,22,34.0,47.5,48.0,5,22,28,34,63,19,53,89,97,61,48,71,55,37,36
66,0.429392,0.174642,0.292866,0.154622,0.154784,0.221014,0.09218,0.186352,0.138889,0.166667,0.385542,0.298864,0.203125,0.338624,0.293431,0.251051,Ramon,Cuiabá,Cuiabá,LB,LB,1,23,2500000,2027-06-30,24,2378,Brazil,Brazil,left,179,70,yes,BRA1,Testing,2024,Lateral Ofensivo,0.251,67,76,11,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,34.0,68,57,54.0,50,55.5,51.0,55.5,62.0,68.0,34.0,59,63.5,43.0,50.0,55,10,25,28,34,26,32,26,18,10,55,22,16,43,34
67,0.446613,0.251168,0.304751,0.178151,0.060752,0.25,0.099101,0.173228,0.277778,0.111111,0.204819,0.31386,0.15625,0.296296,0.213026,0.237431,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1800000,2026-12-31,11,912,Ecuador,Ecuador,right,178,69,no,BRA1,Testing,2024,Lateral Ofensivo,0.237,68,76,10,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,27.0,52,53,51.0,69,52.5,48.0,59.5,36.5,72.0,64.5,54,68.5,47.5,68.0,64,31,30,32,9,30,36,21,51,5,15,28,9,37,10
68,0.444317,0.246202,0.254996,0.216807,0.148413,0.115942,0.172801,0.015748,0.148148,0.055556,0.204819,0.124088,0.25,0.137566,0.357104,0.208067,Rikelme,Shabab Al Ahli Dubai,Cuiabá,"LB, LWB",LB,1,21,0,2025-12-31,8,555,Brazil,Brazil,left,184,80,no,BRA1,Testing,2024,Lateral Ofensivo,0.208,69,76,9,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,28.0,54,64,40.0,52,69.0,31.0,75.0,60.0,74.5,64.5,73,57.5,68.0,42.0,63,28,15,47,31,9,59,1,21,1,15,3,24,10,44
69,0.19403,0.105341,0.263145,0.055462,0.037853,0.445652,0.00128,0.060367,0.148148,0.722222,0.451807,0.290789,0.515625,0.269841,0.295069,0.166629,Mádson,Athletico Paranaense,Athletico Paranaense,RB,RB,1,32,500000,2024-12-31,18,1095,Brazil,Brazil,right,182,69,no,BRA1,Testing,2024,Lateral Ofensivo,0.167,70,76,7,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,67.0,72,62,73.0,72,22.0,74.0,74.0,60.0,10.5,22.5,61,17.0,51.0,49.0,11,5,18,3,5,71,2,2,21,86,70,19,77,32,35
70,0.486797,0.192164,0.237354,0.10084,0.097821,0.213768,0.083449,0.217848,0.157407,0.111111,0.138554,0.407344,0.132812,0.232804,0.198004,0.155322,Matheus Alexandre,Cuiabá,Cuiabá,RB,RB,1,25,1500000,2025-12-31,24,2148,Brazil,Brazil,right,188,88,no,BRA1,Testing,2024,Lateral Ofensivo,0.155,71,76,6,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,25.0,66,65,69.5,58,59.0,55.0,50.0,57.0,72.0,70.5,39,70.0,59.0,70.0,67,13,14,8,23,22,27,34,25,5,7,48,7,22,7
71,0.101033,0.231189,0.207159,0.238655,0.2495,0.347826,0.181181,0.223097,0.101852,0.333333,0.228916,0.219688,0.164062,0.328042,0.285085,0.120982,G. Varela,Flamengo,Flamengo,RB,RB,1,31,1700000,2025-12-31,12,843,Uruguay,"Uruguay, Italy",right,174,70,no,BRA1,Testing,2024,Lateral Ofensivo,0.121,72,76,5,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,74.0,57,68,38.5,32,34.0,29.0,49.0,67.0,50.5,59.5,68,66.5,45.0,56.0,2,25,10,49,57,55,61,35,11,33,21,10,12,40,26
72,0.331803,0.360936,0.293666,0.137815,0.264213,0.221014,0.193065,0.388451,0.564815,0.055556,0.072289,0.376494,0.054688,0.021164,0.056547,0.119078,Bruno Pacheco,Fortaleza,Fortaleza,LB,LB,1,32,450000,2026-12-31,18,1319,Brazil,Brazil,left,174,74,no,BRA1,Testing,2024,Lateral Ofensivo,0.119,73,76,3,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,51.0,37,56,61.0,27,55.5,25.0,28.0,11.5,74.5,73.5,43,75.0,75.0,75.0,32,51,26,19,64,26,67,63,84,1,3,43,1,1,1
73,0.324914,0.200045,0.169717,0.104202,0.217363,0.275362,0.075955,0.314961,0.277778,0.333333,0.253012,0.44381,0.296875,0.179894,0.183939,0.089432,Samuel Xavier,Fluminense,Fluminense,RB,RB,1,34,400000,2025-12-31,25,2377,Brazil,Brazil,right,166,67,no,BRA1,Testing,2024,Lateral Ofensivo,0.089,74,76,2,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,53.0,63,69,68.0,37,48.0,56.0,32.5,36.5,50.5,53.5,29,48.5,63.0,71.0,30,17,9,10,51,36,26,57,51,33,29,61,36,17,6
74,0.347876,0.142875,0.034796,0.315966,0.422463,0.032609,0.372502,0.335958,1.0,0.277778,0.072289,0.330374,0.0,0.164021,0.11014,0.070785,Gabriel Inocêncio,Juventude,Juventude,"LB, RB",LB,1,30,250000,2024-12-31,15,1000,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Lateral Ofensivo,0.071,75,76,1,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,50.0,70,75,23.0,6,75.0,6.0,30.0,1.0,60.5,73.5,49,76.0,65.5,74.0,34,7,1,69,92,1,92,60,98,20,3,35,0,13,2
75,0.10333,0.264999,0.0,0.203361,0.124434,0.456522,0.116481,0.065617,0.175926,0.5,0.259036,0.068928,0.453125,0.031746,0.126285,0.0,Ewerthon,Juventude,Juventude,"RB, RAMF",RB,1,24,750000,2026-07-31,18,932,Brazil,Brazil,right,171,69,yes,BRA1,Testing,2024,Lateral Ofensivo,0.0,76,76,0,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,73.0,50,76,47.0,56,21.0,42.0,73.0,52.0,29.0,52.0,75,24.0,74.0,72.0,3,34,0,38,26,72,44,3,31,61,31,1,68,2,5
