Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
11,0.185969,0.119919,0.063953,0.607843,0.328944,0.900009,0.407407,1.0,0.0,0.120219,0.035,0.157143,0.139595,0.761043,Deyverson,Atlético Mineiro,Atlético Mineiro,CF,CF,12,33,800000,2025-12-31,13,836,Brazil,Brazil,left,189,82,no,BRA1,Testing,2024,Segundo Atacante,0.761,12,58,79,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,44,40,37.0,17.5,38,2.0,29.5,1.0,57.0,56.0,55.0,47.0,43,24,31,36,69,34,96,49,98,1,3,5,18,25
12,0.341219,0.274628,0.156977,0.27451,0.353193,0.652177,0.820175,0.276202,0.136364,0.371585,0.37,0.685714,0.324244,0.759637,André Silva,São Paulo,São Paulo,CF,CF,12,27,3500000,2027-12-31,24,1320,Brazil,Brazil,left,181,78,no,BRA1,Testing,2024,Segundo Atacante,0.76,13,58,77,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,23,19,21.0,42.0,33,8.0,3.0,40.0,46.0,21.0,12.0,10.0,17,60,67,63,27,43,86,94,31,20,63,79,82,70
13,0.50148,0.363235,0.156977,0.431373,0.63536,0.535715,0.57716,0.348086,0.363636,0.333333,0.195,0.585714,0.204171,0.742437,Kauã Elias,Fluminense,Fluminense,CF,CF,12,18,0,,24,1329,Brazil,Brazil,right,181,70,no,BRA1,Testing,2024,Segundo Atacante,0.742,14,58,75,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,9,9,21.0,30.0,9,17.5,8.0,33.0,20.0,28.5,36.0,15.0,35,84,84,63,48,84,69,86,43,65,50,37,74,39
14,0.35746,0.175937,0.02907,0.647059,0.457405,0.571446,0.446272,0.531396,0.227273,0.377049,0.225,0.271429,0.218751,0.701618,Alerrandro,Vitória,Vitória,CF,CF,12,24,3000000,2026-12-31,27,1944,Brazil,Brazil,right,176,74,yes,BRA1,Testing,2024,Segundo Atacante,0.702,15,58,74,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,19,32,50.5,15.0,23,15.0,23.0,10.0,32.5,20.0,28.0,34.5,30,67,44,12,74,60,74,60,82,43,65,51,40,48
15,0.173183,0.201221,0.052326,0.607843,0.538425,0.551016,0.521991,0.418963,0.363636,0.273224,0.13,0.457143,0.21327,0.693513,J. López,Palmeiras,Palmeiras,CF,CF,12,23,8000000,2027-12-31,28,1998,Argentina,Argentina,left,190,74,no,BRA1,Testing,2024,Segundo Atacante,0.694,16,58,72,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,46,25,44.5,17.5,19,16.0,12.0,21.0,20.0,39.0,42.0,22.5,32,20,56,23,69,67,72,79,63,65,32,27,61,44
16,0.314076,0.242157,0.133721,0.54902,0.634758,0.480005,0.486111,0.361424,0.318182,0.295082,0.22,0.328571,0.232631,0.66633,Everaldo,Bahia,Bahia,"CF, RWF, RW",CF,12,33,650000,2025-12-31,30,2031,Brazil,Brazil,right,182,87,no,BRA1,Testing,2024,Segundo Atacante,0.666,17,58,70,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,27,20,25.0,24.0,11,20.0,20.0,26.0,23.5,32.5,30.0,30.0,28,53,65,56,58,81,65,65,55,59,43,48,48,51
17,0.438286,0.354311,0.494186,0.568627,0.429579,0.272733,0.242647,0.440299,0.409091,0.36612,0.26,0.785714,0.210116,0.661687,Júnior Santos,Botafogo,Botafogo,CF,CF,12,29,4000000,2027-12-31,18,1477,Brazil,Brazil,right,188,85,no,BRA1,Testing,2024,Segundo Atacante,0.662,18,58,68,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,11,11,5.0,22.0,25,42.5,46.0,19.0,15.0,22.5,22.5,5.0,33,81,81,91,62,56,26,20,67,74,61,61,91,43
18,0.268417,0.210863,0.05814,0.27451,0.241467,0.692317,0.747807,0.339906,0.181818,0.284153,0.03,0.142857,0.135717,0.661644,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,18,858,Argentina,"Argentina, Italy",right,186,83,no,BRA1,Testing,2024,Segundo Atacante,0.662,19,58,67,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,29,22,40.5,42.0,46,6.5,5.0,34.0,39.0,35.5,56.0,48.0,46,50,62,30,27,20,88,91,41,32,38,3,17,20
19,0.205603,0.217649,0.069767,0.352941,0.298838,0.600006,0.478261,0.511645,0.136364,0.464481,0.045,0.7,0.31452,0.660045,Eduardo,Botafogo,Botafogo,"CF, AMF, LW",CF,12,35,1000000,2024-12-31,12,741,Brazil,Brazil,right,184,72,no,BRA1,Testing,2024,Segundo Atacante,0.66,20,58,65,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,39,21,34.5,35.0,41,11.0,21.0,12.0,46.0,12.0,52.0,7.5,18,32,63,40,39,29,81,63,79,20,79,10,87,68
20,0.164788,0.076762,0.05814,0.588235,0.523354,0.615396,0.510714,0.491627,0.136364,0.185792,0.045,0.285714,0.021112,0.658976,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,25,1843,Argentina,Argentina,right,179,75,no,BRA1,Testing,2024,Segundo Atacante,0.659,21,58,63,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,48,50,40.5,19.5,21,9.0,14.0,14.0,46.0,47.0,52.0,33.0,57,17,13,30,66,63,84,75,75,20,18,10,43,1
