Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
22,0.428115,0.220758,0.473747,0.422613,0.487073,0.307692,0.225806,0.588535,Helinho,Red Bull Bragantino,Red Bull Bragantino,"RW, RAMF, RWF",RW,10,24,7000000,2028-12-31,17,1218,Brazil,Brazil,left,175,66,no,BRA1,Testing,2024,Extremo Tático,0.589,23,58,60,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,24.0,54,20,16,23,32.0,32.5,58,6,65,72,60,44,43
23,0.608626,0.636741,0.357193,0.302244,0.690185,0.153846,0.322581,0.588213,Marquinhos,Fluminense,Fluminense,"RAMF, RB",RAMF,10,21,7000000,2027-06-30,15,1283,Brazil,Brazil,left,175,67,yes,BRA1,Testing,2024,Extremo Tático,0.588,24,58,58,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,11.0,15,31,29,9,54.5,24.0,81,74,46,50,84,6,58
24,0.423323,0.594532,0.395822,0.291368,0.799427,0.717949,0.709677,0.584999,Estevão,Palmeiras U20,Palmeiras,RAMF,RAMF,10,17,0,,21,1428,Brazil,Brazil,left,170,62,no,BRA1,Testing,2024,Extremo Tático,0.585,25,58,56,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,26.0,16,26,31,5,4.0,4.5,55,72,55,46,91,93,92
25,0.646965,0.706453,0.44979,0.252544,0.325941,0.589744,0.322581,0.573296,A. Canobbio,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, CF",LAMF,10,25,5000000,2026-12-31,14,969,Uruguay,"Uruguay, Italy",right,175,69,no,BRA1,Testing,2024,Extremo Tático,0.573,26,58,55,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,9.0,9,21,39,42,7.0,24.0,84,84,63,32,27,87,58
26,0.044728,0.160686,0.514484,0.502614,0.025452,0.461538,0.741935,0.560603,J. Savarino,Botafogo,Botafogo,"LW, LAMF, AMF",LW,10,27,5000000,2026-12-31,17,1325,Venezuela,"Venezuela, Italy",right,168,60,no,BRA1,Testing,2024,Extremo Tático,0.561,27,58,53,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,57.0,56,19,10,56,14.0,3.0,1,3,67,82,3,75,94
27,0.739617,0.824989,0.084232,0.259624,0.733635,0.435897,0.580645,0.538737,Zé Hugo,Vitória,Vitória,"RW, LW",RW,10,24,400000,2024-12-31,18,644,Brazil,Brazil,right,178,70,no,BRA1,Testing,2024,Extremo Tático,0.539,28,58,51,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,5.0,2,49,37,7,18.5,8.5,91,96,15,36,87,68,85
28,0.202875,0.339111,0.408876,0.371468,0.61291,0.230769,0.096774,0.531646,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,BRA1,Testing,2024,Extremo Tático,0.532,29,58,50,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,52.0,40,23,22,13,45.0,50.0,10,31,60,62,77,22,13
29,1.0,0.808695,0.229724,0.260065,0.252857,0.282051,0.064516,0.529798,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,22,1779,Brazil,Brazil,left,194,84,yes,BRA1,Testing,2024,Extremo Tático,0.53,30,58,48,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,1.0,4,39,36,48,35.5,53.5,98,93,32,37,17,38,7
30,0.471246,0.533064,0.270176,0.3368,0.511993,0.230769,0.193548,0.522314,Keno,Fluminense,Fluminense,"LAMF, LW",LAMF,10,35,800000,2025-12-31,15,934,Brazil,Brazil,right,178,66,no,BRA1,Testing,2024,Extremo Tático,0.522,31,58,46,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,22.0,22,35,25,18,45.0,38.0,62,62,39,56,68,22,34
31,0.531949,0.68977,0.336271,0.280336,0.200151,0.333333,0.129032,0.52052,Yago Pikachu,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,32,1200000,2025-12-31,22,1492,Brazil,Brazil,right,169,63,no,BRA1,Testing,2024,Extremo Tático,0.521,32,58,44,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,15.0,13,33,32,52,29.5,46.5,74,77,43,44,10,49,19
32,0.067093,0.317319,0.32389,0.388038,0.85249,0.384615,0.870968,0.514857,Y. Soteldo,Grêmio,Grêmio,"LWF, LW, LAMF",LWF,11,27,7000000,2027-06-30,12,942,Venezuela,Venezuela,left,160,54,no,BRA1,Testing,2024,Extremo Tático,0.515,33,58,43,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,56.0,43,34,20,3,25.0,2.0,3,25,41,65,94,56,96
