Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF",DMF,7,32,400000,2024-12-31,6,621,Uruguay,Uruguay,right,186,78,no,10.29,1.594971,5.651133,3.044999999999999,0.72,0.7250580000000001,0.145,0.0,3.331020000000001,BRA1,Testing,2024,0.443476206988951,0.4363042598521788,0.4398902334205649
1,Rezende,Bahia,Bahia,"DMF, LCB, RCMF",DMF,7,29,800000,2025-12-31,16,633,Brazil,Brazil,left,186,84,no,9.53,0.1425,10.949828,2.984716,0.43,2.133504,0.4259999999999999,1.0,3.124,BRA1,Testing,2024,0.3069083581107394,0.3652439758857138,0.3360761669982266
2,Filipe Machado,Vitória,Vitória,"DMF, LCMF, LDMF",DMF,7,28,1000000,2026-12-31,13,655,Brazil,Brazil,right,174,61,no,6.6,3.43772,8.652875,4.4,1.37,1.511428,0.825,0.27,4.945466999999999,BRA1,Testing,2024,0.1916923103547491,0.2561938181398311,0.2239430642472901
3,Du Queiroz,Grêmio,Grêmio,"RDMF, RCMF, AMF",RDMF,7,24,3000000,2028-06-30,14,657,Brazil,Brazil,right,171,65,yes,10.0,2.189173,11.371,4.659381,1.78,1.095323,0.9590000000000001,1.92,7.53399,BRA1,Testing,2024,0.6107122038732662,0.7408255685071387,0.6757688861902025
4,Matheus Rossetto,Fortaleza,Fortaleza,"LDMF, RCMF, LCMF",LDMF,7,28,1500000,2024-12-31,11,746,Brazil,"Brazil, Italy",right,180,75,no,8.08,3.381309,14.715975,5.671092,1.33,2.655666000000001,1.206727,1.81,7.482333000000001,BRA1,Testing,2024,0.6341014339195722,0.7436882135475087,0.6888948237335404
5,N. de la Cruz,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,18000000,2028-06-30,10,862,Uruguay,Uruguay,right,167,65,no,5.32,2.403041,13.989276,9.6048,3.24,4.803400999999999,1.5675,2.51,11.069786,BRA1,Testing,2024,0.7234981616874073,0.8145453588180968,0.769021760252752
6,Alexsander,Fluminense,Fluminense,"LDMF, LCMF, RCMF",LDMF,7,21,0,,15,899,Brazil,Brazil,left,177,67,no,8.91,1.09992,8.607128,3.706527,2.4,3.403138,1.70016,1.2,3.9075,BRA1,Testing,2024,0.3317739728595739,0.3461402987701048,0.3389571358148393
7,D. Bobadilla,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,23,2500000,2027-12-31,14,920,Paraguay,Paraguay,right,181,73,no,7.34,1.856232,11.934288,6.164136,0.98,0.683588,0.388552,0.49,6.651834,BRA1,Testing,2024,0.3961937892503167,0.4165033297900818,0.4063485595201992
8,Zé Rafael,Palmeiras,Palmeiras,"LDMF, LCMF",LDMF,7,31,4500000,2026-12-31,13,923,Brazil,"Brazil, Italy",right,175,71,no,7.8,2.437344,6.433411,4.092688,1.66,2.9237,1.27,1.37,4.582656,BRA1,Testing,2024,0.2405243650638775,0.3003580641698151,0.2704412146168463
9,Gabriel,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,32,1800000,2025-12-31,11,939,Brazil,"Brazil, Italy",right,170,69,yes,10.54,3.448,13.41613,5.65264,0.58,0.96,0.193314,1.15,8.817512,BRA1,Testing,2024,1.0,1.0,1.0
