Unnamed: 0,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Aéreos_Ganhos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Aéreos_Ganhos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
26,0.309123,0.515905,0.45098,0.305073,0.425595,0.240927,0.272727,0.095,0.242857,0.352003,0.682947,Y. Bolasie,Criciúma,Criciúma,"CF, LWF",CF,12,35,250000,2024-12-31,27,2095,Congo DR,"Congo DR, England",right,185,84,no,BRA1,Testing,2024,Atacante Referência,0.683,27,58,53,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,32,8,27.0,38.0,27.5,46.0,27.0,47.0,39.5,15,44,86,53,34,52,20,53,18,31,74
27,0.414021,0.249037,0.627451,0.352954,0.297297,0.472991,0.272727,0.29,0.342857,0.104829,0.670526,Derek,Atlético GO,Atlético GO,CF,CF,12,26,800000,2027-12-31,19,738,Brazil,Brazil,left,185,80,no,BRA1,Testing,2024,Atacante Referência,0.671,28,58,51,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,22,34,16.0,32.0,42.0,18.0,27.0,18.0,29.0,49,62,41,72,44,27,68,53,68,50,15
28,0.080177,0.60511,0.176471,0.327273,0.6875,0.110928,0.818182,1.0,1.0,1.0,0.669418,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,27,2559,Brazil,"Brazil, Portugal",left,175,74,no,BRA1,Testing,2024,Atacante Referência,0.669,29,58,50,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,52,5,47.5,37.0,6.0,56.0,2.5,1.0,1.0,1,10,91,18,36,89,3,95,98,98,98
29,0.299783,0.438286,0.568627,0.272733,0.242647,0.440299,0.409091,0.26,0.785714,0.210116,0.652699,Júnior Santos,Botafogo,Botafogo,CF,CF,12,29,4000000,2027-12-31,18,1477,Brazil,Brazil,right,188,85,no,BRA1,Testing,2024,Atacante Referência,0.653,30,58,48,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,35,11,22.0,42.5,46.0,19.0,15.0,22.5,5.0,33,39,81,62,26,20,67,74,61,91,43
30,0.339041,0.263395,0.568627,0.403864,0.323529,0.51849,0.454545,0.23,0.485714,0.190941,0.651214,I. Pitta,Cuiabá,Cuiabá,CF,CF,12,25,4000000,2026-12-31,29,2647,Paraguay,Paraguay,right,183,88,no,BRA1,Testing,2024,Atacante Referência,0.651,31,58,46,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,28,30,22.0,28.0,39.0,11.0,11.5,26.0,20.5,38,51,48,62,51,32,81,80,55,64,34
31,0.282854,0.38495,0.666667,0.333333,0.211538,0.606399,0.727273,0.125,0.571429,0.428489,0.646656,Rafael Ratão,Bahia,Bahia,"CF, LWF, LW",CF,12,28,2500000,2026-12-31,17,505,Brazil,Brazil,right,183,71,no,BRA1,Testing,2024,Atacante Referência,0.647,32,58,44,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,38,15,13.0,35.0,47.0,7.0,4.5,43.0,16.0,9,34,74,77,39,18,87,92,25,72,84
32,0.294139,0.343551,0.588235,0.413794,0.471429,0.320794,0.272727,0.215,0.257143,0.250569,0.638864,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,23,2002,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Atacante Referência,0.639,33,58,43,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,36,22,19.5,27.0,22.0,37.0,27.0,31.0,37.0,26,37,62,66,53,62,36,53,46,36,55
33,0.014018,0.085225,0.764706,0.800018,0.520833,0.665775,0.727273,0.425,0.885714,0.53621,0.62938,Gabriel Barbosa,Flamengo,Flamengo,"CF, AMF",CF,12,28,8000000,2024-12-31,16,722,Brazil,Brazil,left,178,73,no,BRA1,Testing,2024,Atacante Referência,0.629,34,58,41,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,57,53,7.5,3.0,13.0,6.0,4.5,10.0,3.0,5,1,8,87,94,77,89,92,82,94,91
34,0.684068,0.354753,0.294118,0.0,0.0,0.248844,0.181818,0.295,0.314286,0.190883,0.614574,E. Rodríguez,Atlético GO,Atlético GO,CF,CF,12,21,0,,21,1219,Uruguay,Uruguay,left,190,77,yes,BRA1,Testing,2024,Atacante Referência,0.615,35,58,39,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,6,20,39.0,54.0,54.0,44.0,39.0,17.0,31.5,39,89,65,32,6,6,24,32,70,45,32
35,0.21339,0.384911,0.45098,0.333333,0.392857,0.299502,0.409091,0.26,0.7,0.577337,0.587165,Á. Romero,Corinthians,Corinthians,"CF, RAMF",CF,12,32,1500000,2024-12-31,22,1479,Paraguay,Paraguay,right,175,73,no,BRA1,Testing,2024,Atacante Referência,0.587,36,58,37,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,41,16,27.0,35.0,32.0,39.0,15.0,22.5,7.5,4,29,72,53,39,44,32,74,61,87,93
36,0.345977,0.075621,0.431373,0.461555,0.407407,0.418127,0.363636,0.2,0.542857,0.220421,0.580389,Thaciano,Bahia,Bahia,"CF, LWF, LCMF",CF,12,29,2000000,2027-12-31,30,2216,Brazil,Brazil,right,182,73,no,BRA1,Testing,2024,Atacante Referência,0.58,37,58,36,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,26,54,30.0,23.0,29.5,22.0,20.0,34.5,17.5,29,55,6,48,60,49,62,65,40,69,50
37,0.105103,0.164788,0.588235,0.615396,0.510714,0.491627,0.136364,0.045,0.285714,0.021112,0.575532,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,25,1843,Argentina,Argentina,right,179,75,no,BRA1,Testing,2024,Atacante Referência,0.576,38,58,34,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,49,48,19.5,9.0,14.0,14.0,46.0,52.0,33.0,57,15,17,66,84,75,75,20,10,43,1
