Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
16,Barreto,Criciúma,Criciúma,"RCMF, DMF, LCMF",RCMF,8,28,500000,2024-12-31,24,2077,Brazil,"Brazil, Italy",right,181,78,no,8.93,4.421585,1.085535,2.818958,1.04,0.7780040000000001,0.74,0.08,0.02,0.3,3.2475,0.48,0.5655,BRA1,Testing,2024,0.1203330252103131,0.2218072926876125,0.1710701589489627
17,Charles,Corinthians,Corinthians,RCMF,RCMF,8,28,1000000,2028-12-31,10,612,Brazil,Brazil,right,187,81,no,11.76,6.470227,2.055672,4.116,0.44,0.293348,0.59,0.03,0.03,0.29,3.826875,0.44,0.293304,BRA1,Testing,2024,0.5010946499452564,0.5262139178201212,0.5136542838826887
18,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,13,851,Chile,Chile,right,176,68,yes,9.1,4.336661,4.335603000000001,5.709579,0.42,0.316196,0.74,0.05,0.06,0.74,5.289400999999999,0.85,0.529209,BRA1,Testing,2024,0.6290807949528974,0.6999877849670795,0.6645342899599884
19,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF",RCMF,8,27,10000000,2027-12-31,20,2016,Paraguay,Paraguay,right,178,74,no,9.73,4.864371999999999,1.337696,4.107348,1.07,0.8484479999999999,0.71,0.06,0.05,0.54,4.327902,0.76,0.7588750000000001,BRA1,Testing,2024,0.3793041774622867,0.4855028947992607,0.4324035361307736
20,Ronald,Criciúma,Criciúma,"LCMF, LW, RCMF",LCMF,8,27,800000,2025-12-31,23,1181,Brazil,Brazil,right,171,74,yes,9.98,7.087470000000001,1.221257,3.201525,0.99,1.825523,1.22,0.08,0.12,0.91,2.515219,0.53,0.838689,BRA1,Testing,2024,0.4136365657252211,0.4676748444499218,0.4406557050875713
21,Erick,Athletico Paranaense,Athletico Paranaense,"RCMF, RDMF, RB",RCMF,8,26,4000000,2026-12-31,27,2316,Brazil,Brazil,right,176,67,no,9.13,4.699584,2.059663,3.810073,1.4,0.3892390000000001,1.09,0.13,0.05,0.35,4.899825,0.35,0.386325,BRA1,Testing,2024,0.2793925829076657,0.416397482511761,0.3478950327097133
22,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,13,1095,Brazil,Brazil,right,173,71,no,5.59,2.21757,1.23,4.11315,1.73,1.31422,1.81,0.09,0.02,0.74,3.617712,0.74,0.9839999999999999,BRA1,Testing,2024,0.341592137724361,0.3371448719057352,0.3393685048150481
23,Pepê,Grêmio,Grêmio,"LCMF, RCMF, LDMF",LCMF,8,26,3000000,2025-12-31,20,1189,Brazil,Brazil,right,183,77,no,10.37,6.209974,2.571129,5.378099,0.91,1.061606,1.21,0.05,0.01,0.23,5.074191,0.61,0.7587780000000001,BRA1,Testing,2024,0.756922430183689,0.7639387566496347,0.7604305934166617
24,M. Zaracho,Atlético Mineiro,Atlético Mineiro,"LCMF, LW",LCMF,8,26,9000000,2025-12-31,13,802,Argentina,Argentina,right,171,64,no,8.3,5.050432,1.122312,2.58423,1.46,0.7840560000000001,0.56,0.13,0.06,0.9,3.256968,0.45,0.224,BRA1,Testing,2024,0.1464981254829181,0.2492141034375371,0.1978561144602276
25,Jean Lucas,Bahia,Bahia,"LCMF, LAMF",LCMF,8,26,7000000,2028-12-31,30,2710,Brazil,Brazil,right,181,76,no,5.59,3.028618,1.37729,2.69101,1.45,0.7736700000000001,1.55,0.14,0.07,0.51,3.569111,0.84,0.7059440000000001,BRA1,Testing,2024,0.1132921435112763,0.2119358168166384,0.1626139801639573
26,A. Franco,Atlético Mineiro,Atlético Mineiro,"LCMF, RCMF, DMF",LCMF,8,26,3500000,2025-12-31,19,1539,Ecuador,Ecuador,right,174,73,no,6.78,3.740187,0.8766560000000001,2.570112,0.88,0.116655,0.35,0.04,0.04,0.47,2.6303010000000002,0.58,0.4083450000000001,BRA1,Testing,2024,0.006800579665602491,0.04485465237046413,0.02582761601803331
27,Baralhas,Atlético GO,Atlético GO,"LCMF, LDMF",LCMF,8,26,1000000,2025-12-31,27,2178,Brazil,Brazil,right,178,73,yes,9.34,4.587484,2.4353,4.218719999999999,0.87,0.662156,0.41,0.08,0.05,0.62,3.9255,0.66,0.745,BRA1,Testing,2024,0.3808906540980279,0.459672704136614,0.4202816791173208
28,Rhaldney,Atlético GO,Atlético GO,RCMF,RCMF,8,25,600000,2025-06-30,26,1955,Brazil,Brazil,right,179,73,no,9.35,6.30828,1.613108,3.773721,1.01,0.6913320000000001,1.06,0.04,0.03,0.6,5.389605,0.28,0.457152,BRA1,Testing,2024,0.4632833120860296,0.541534862548034,0.5024090873170317
29,Rômulo,Internacional,Internacional,"RCMF, RDMF, DMF",RCMF,8,24,900000,2027-12-31,22,1455,Brazil,Brazil,right,182,75,no,9.71,4.580121999999999,1.67295,3.403125,0.31,0.49,0.56,0.01,0.0,0.06,3.462960000000001,0.12,0.122851,BRA1,Testing,2024,0.1239459938690444,0.2179954001792802,0.1709706970241623
30,Newton,Criciúma,Criciúma,"RCMF, RDMF",RCMF,8,24,250000,2027-12-31,24,1951,Brazil,Brazil,right,188,78,yes,7.98,4.28813,2.073159,3.59584,0.74,0.60043,1.57,0.05,0.06,0.46,3.737793,0.14,0.599426,BRA1,Testing,2024,0.213401060866946,0.2933496357021792,0.2533753482845626
31,F. Vera,Atlético Mineiro,Atlético Mineiro,"RCMF, RDMF",RCMF,8,24,4500000,2027-12-31,19,1408,Argentina,Argentina,right,180,74,no,6.58,3.644464,1.46874,4.667742,1.09,0.322248,1.21,0.15,0.04,0.32,5.239170000000001,0.45,0.576,BRA1,Testing,2024,0.3060563139771028,0.3631698637620048,0.3346130888695538
32,Eric Ramires,Red Bull Bragantino,Red Bull Bragantino,"RCMF, RDMF",RCMF,8,24,4000000,2026-12-31,22,1244,Brazil,Brazil,right,174,67,no,7.52,4.92176,0.6525,2.604771,1.66,0.8673449999999999,0.51,0.19,0.01,0.51,3.69182,0.14,0.361524,BRA1,Testing,2024,0.1012837876229133,0.1714556224565041,0.1363697050397087
33,Á. Barreal,Cruzeiro,Cruzeiro,"LCMF, LWF, LW",LCMF,8,24,5000000,2025-12-31,23,1404,Argentina,"Argentina, United States",left,172,66,yes,10.0,4.869624000000001,2.373564,4.232088,2.05,1.216,1.03,0.13,0.14,1.35,3.203973,0.9,1.410985,BRA1,Testing,2024,0.4664800252663197,0.5590320091741431,0.5127560172202313
34,Denilson,Cuiabá,Cuiabá,"LCMF, LDMF",LCMF,8,23,2000000,2027-12-31,26,1813,Brazil,Brazil,right,180,75,no,5.46,3.872583,1.040292,3.7696,0.5,1.489246,1.34,0.04,0.09,0.74,2.929219999999999,0.74,1.09107,BRA1,Testing,2024,0.243893191063767,0.2673098506412021,0.2556015208524845
35,Breno Bidon,Corinthians U20,Corinthians,"LCMF, RDMF, LDMF",LCMF,8,19,0,,22,1497,Brazil,Brazil,left,174,70,no,7.27,3.84616,3.186625,5.167916,0.3,1.019928,1.08,0.05,0.03,0.6,5.287425000000001,0.48,0.479952,BRA1,Testing,2024,0.390488929020195,0.5051335581416156,0.4478112435809053
36,Paulo Vitor,Atlético Mineiro U20,Atlético Mineiro,"RCMF, LCMF, LDMF",RCMF,8,20,0,,10,533,Brazil,Brazil,right,184,75,no,8.61,5.402304,1.52153,2.870182,0.17,0.0,0.51,0.0,0.04,0.17,4.391875,0.17,0.169983,BRA1,Testing,2024,0.133615628211199,0.2604818562718063,0.1970487422415026
37,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,24,998,Brazil,Brazil,right,175,68,no,7.03,3.875828,1.535296,4.237912,0.54,1.805,1.17,0.03,0.2,1.62,4.05735,0.45,1.174546,BRA1,Testing,2024,0.331776907884689,0.4301376555416672,0.380957281713178
38,Vitinho,Cruzeiro U20,Cruzeiro,"LCMF, RWF, RCMF",LCMF,8,20,0,2025-12-31,19,547,Brazil,Brazil,left,173,67,no,4.11,2.303,0.495,2.1385,2.47,0.328555,0.82,0.24,0.06,0.66,1.149101,0.16,0.329967,BRA1,Testing,2024,0.0,0.0,0.0
39,Ryan,Corinthians U20,Corinthians,"LCMF, RDMF",LCMF,8,21,0,,11,610,Brazil,Brazil,left,170,64,no,11.8,7.967849999999999,0.295,2.3616,0.44,0.296,0.59,0.03,0.01,0.15,1.76848,0.15,0.1475,BRA1,Testing,2024,0.2458940120676749,0.2545740694412472,0.250234040754461
40,Jhon Jhon,Red Bull Bragantino,Red Bull Bragantino,"LCMF, LAMF, LW",LCMF,8,22,0,,14,797,Brazil,Brazil,right,178,73,no,9.71,4.970625000000001,2.369243,4.293134999999999,2.48,2.485428,3.16,0.14,0.04,1.24,3.277,1.02,0.7894669999999999,BRA1,Testing,2024,0.4914242837814239,0.5553961691384284,0.5234102264599261
41,Léo Naldi,Vitória,Vitória,"LCMF, DMF",LCMF,8,23,400000,2026-12-31,18,1186,Brazil,Brazil,right,176,70,no,9.18,4.935579999999999,2.350134,2.729265,0.46,0.760038,0.91,0.04,0.01,0.23,3.641440000000001,0.08,0.151421,BRA1,Testing,2024,0.09081690877457,0.2361877915262152,0.1635023501503926
