Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
0,0.789222,0.52627,0.519246,0.431187,1.0,Mateus Carvalho,Vasco da Gama,Vasco da Gama,"LDMF, LCMF",LDMF,7,22,800000,2027-12-31,25,1784,Brazil,Brazil,left,174,74,no,BRA1,Testing,2024,Primeiro Volante Defensivo,1.0,1,52,98,0.419461,0.325534,0.342082,0.328198,3.0,9,10,15,94,82,80,71
1,0.922156,0.394219,0.401966,0.368097,0.837967,Matheus Fernandes,Red Bull Bragantino,Red Bull Bragantino,"DMF, RDMF, RCMF",DMF,7,26,2000000,2027-12-31,11,597,Brazil,Brazil,right,183,70,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.838,2,52,96,0.419461,0.325534,0.342082,0.328198,2.0,16,15,19,96,69,71,63
2,0.68024,0.63621,0.242858,0.41649,0.821974,Jadsom Silva,Red Bull Bragantino,Red Bull Bragantino,"DMF, RB, RCMF",DMF,7,23,4000000,2025-12-31,24,1476,Brazil,Brazil,right,173,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.822,3,52,94,0.419461,0.325534,0.342082,0.328198,6.0,3,30,16,88,94,42,69
3,1.0,1.0,0.400716,0.090665,0.819418,Lucas Sasha,Fortaleza,Fortaleza,"RDMF, RCMF, LDMF",RDMF,7,34,400000,2025-12-31,20,1344,Brazil,"Brazil, Italy",right,177,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.819,4,52,92,0.419461,0.325534,0.342082,0.328198,1.0,1,16,46,98,98,69,11
4,0.548503,0.566559,1.0,0.299553,0.815768,Ronaldo,Juventude,Juventude,"LDMF, LCMF",LDMF,7,28,700000,2024-12-31,6,585,Brazil,Brazil,right,179,69,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.816,5,52,90,0.419461,0.325534,0.342082,0.328198,13.0,7,1,32,75,86,98,38
5,0.57006,0.36641,0.331457,0.553674,0.811801,Gabriel Menino,Palmeiras,Palmeiras,"LDMF, LAMF, RCMF",LDMF,7,24,9000000,2027-12-31,21,1058,Brazil,Brazil,right,180,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.812,6,52,88,0.419461,0.325534,0.342082,0.328198,11.0,21,23,4,78,59,55,92
6,0.777246,0.541171,0.59694,0.146839,0.796926,Pedro Augusto,Fortaleza,Fortaleza,"DMF, LCMF, LDMF",DMF,7,27,1500000,2026-12-31,27,1365,Brazil,Brazil,right,181,74,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.797,7,52,86,0.419461,0.325534,0.342082,0.328198,4.0,8,9,40,92,84,82,23
7,0.568862,0.650883,0.383681,0.318035,0.748663,R. Ríos,Palmeiras,Palmeiras,"RDMF, LCMF",RDMF,7,24,10000000,2028-12-31,18,1397,Colombia,Colombia,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.749,8,52,84,0.419461,0.325534,0.342082,0.328198,12.0,2,18,28,76,96,65,46
8,0.658683,0.573726,0.210325,0.355475,0.740381,Hugo Moura,Vasco da Gama,Vasco da Gama,"RDMF, RCMF",RDMF,7,26,1500000,2026-06-30,23,1790,Brazil,Brazil,right,182,79,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.74,9,52,82,0.419461,0.325534,0.342082,0.328198,7.0,5,35,21,86,90,32,59
9,0.445509,0.333919,0.612039,0.459798,0.72258,E. Pulgar,Flamengo,Flamengo,"RDMF, RCMF, LDMF",RDMF,7,30,5000000,2025-12-31,17,1437,Chile,Chile,right,187,74,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.723,10,52,80,0.419461,0.325534,0.342082,0.328198,22.0,22,8,12,57,57,84,76
