Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil
25,0.350078,0.276011,0.209524,0.468085,0.439024,0.504244,0.388034,0.138889,0.189003,0.613154,Everaldo,Bahia,Bahia,"CF, RWF, RW",CF,12,33,650000,2025-12-31,24,1633,Brazil,Brazil,right,182,87,no,BRA1,Testing,2024,Atacante Móvel,0.613,26,46,43,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,22,16,19.0,17.5,19.0,15.5,28,25.5,27.5,52,65,58,61,58,66,39,44,40
26,0.62649,0.216524,0.180952,0.0,0.545465,1.0,0.08113,0.027778,0.065292,0.605511,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,17,938,Brazil,Brazil,right,177,73,no,BRA1,Testing,2024,Atacante Móvel,0.606,27,46,41,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,7,22,23.0,46.0,10.0,1.0,42,44.0,44.0,84,52,50,0,78,97,8,4,4
27,0.244762,0.192875,0.114286,0.489362,0.324333,0.355263,0.444532,0.277778,0.323024,0.577202,Rony,Palmeiras,Palmeiras,"CF, LAMF",CF,12,29,9000000,2026-12-31,24,1525,Brazil,Brazil,right,166,65,no,BRA1,Testing,2024,Atacante Móvel,0.577,28,46,39,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,36,25,32.5,16.0,30.0,27.5,23,12.0,9.0,21,45,29,65,34,40,50,73,80
28,0.413461,0.361304,0.647619,0.021277,0.200012,0.426316,0.017523,0.333333,0.43299,0.556415,Cauly,Bahia,Bahia,"CF, AMF",CF,12,28,6000000,2028-12-31,25,1999,Brazil,"Brazil, Germany",right,175,68,no,BRA1,Testing,2024,Atacante Móvel,0.556,29,46,36,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,13,11,5.0,44.5,39.0,23.0,44,6.0,4.0,71,76,89,3,15,50,4,86,91
29,0.323405,0.102717,0.2,0.382979,0.399994,0.473684,0.355966,0.166667,0.189003,0.549772,Arthur Caíke,Criciúma,Criciúma,CF,CF,12,32,800000,2024-12-31,22,1314,Brazil,Brazil,right,174,71,no,BRA1,Testing,2024,Atacante Móvel,0.55,30,46,34,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,24,36,22.0,22.0,21.5,20.0,29,21.5,27.5,47,21,52,52,53,56,36,53,40
30,0.286218,0.236136,0.228571,0.106383,0.285723,0.541353,0.080795,0.25,0.295533,0.503901,Eduardo Sasha,Red Bull Bragantino,Red Bull Bragantino,"CF, AMF",CF,12,32,1800000,2025-12-31,15,1146,Brazil,"Brazil, Italy",right,173,65,no,BRA1,Testing,2024,Atacante Móvel,0.504,31,46,32,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,29,20,14.5,40.0,32.0,11.5,43,14.5,11.0,36,56,68,13,30,75,6,68,76
31,0.268681,0.116414,0.12381,0.808511,0.358204,0.342665,0.56126,0.083333,0.099656,0.48019,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,35,750000,2025-12-31,22,2137,Argentina,Argentina,right,187,86,no,BRA1,Testing,2024,Atacante Móvel,0.48,32,46,30,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,32,33,29.0,4.5,26.0,32.0,14,37.5,40.0,30,28,36,90,43,30,69,18,13
32,0.213914,0.064737,0.085714,0.106383,0.428584,0.575188,0.267642,0.083333,0.116838,0.463134,T. Borbas,Red Bull Bragantino,Red Bull Bragantino,CF,CF,12,22,7000000,2027-12-31,20,1049,Uruguay,Uruguay,right,181,69,no,BRA1,Testing,2024,Atacante Móvel,0.463,33,46,28,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,37,42,35.5,40.0,20.0,10.0,33,37.5,38.0,19,8,22,13,56,78,28,18,17
33,0.395718,0.322568,0.209524,0.446809,0.260883,0.347368,0.268023,0.111111,0.19244,0.451396,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,19,1612,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Atacante Móvel,0.451,34,46,26,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,16,14,19.0,19.0,34.0,30.5,32,30.0,26.0,65,69,58,58,26,33,30,34,43
34,0.350175,0.162596,0.209524,0.12766,0.333333,0.347368,0.490631,0.111111,0.147766,0.448618,Edenílson,Grêmio,Grêmio,"CF, RW, AMF",CF,12,34,1200000,2025-12-31,17,834,Brazil,Brazil,right,175,74,no,BRA1,Testing,2024,Atacante Móvel,0.449,35,46,23,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,21,29,19.0,37.0,28.5,30.5,20,30.0,36.0,54,36,58,19,38,33,56,34,21
