Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1800000,2026-12-31,7,647,Ecuador,Ecuador,right,178,69,no,10.15,4.175,1.251,1.668924,5.286930999999999,5.844699,BRA1,Testing,2024,0.3215953166975929,0.2869374275041092,0.3042663721008511
1,Matheus Bidu,Corinthians,Corinthians,"LWB, LB",LWB,1,25,2000000,2025-12-31,11,663,Brazil,Brazil,left,172,72,no,8.42,3.934827,0.408,1.6272,5.700779999999998,10.998267,BRA1,Testing,2024,0.2448538021074858,0.2060868171057423,0.225470309606614
2,Igor Gomes,Internacional,Internacional,"RB, RCB",RB,1,23,1500000,2028-12-31,12,719,Brazil,Brazil,right,185,76,no,10.64,5.382417,2.378757999999999,1.251624,4.002784,16.521945,BRA1,Testing,2024,0.6190113422191128,0.6038414054055475,0.6114263738123301
3,Fábio,Grêmio,Grêmio,"RB, LB, RWB",RB,1,34,500000,2024-12-31,12,745,Brazil,"Brazil, Portugal",right,172,66,no,7.25,3.866352,2.176545,2.055,5.316425000000001,7.976559,BRA1,Testing,2024,0.2756500731880161,0.3047687367488807,0.2902094049684484
4,G. Varela,Flamengo,Flamengo,RB,RB,1,31,1700000,2025-12-31,10,751,Uruguay,"Uruguay, Italy",right,174,70,no,5.87,2.753687999999999,1.32,1.439892,4.071863,8.87167,BRA1,Testing,2024,0.08758620480017926,0.05027993268356602,0.06893306874187263
5,Ewerthon,Juventude,Juventude,"RB, RAMF",RB,1,23,750000,2026-07-31,14,753,Brazil,Brazil,right,171,69,yes,5.74,2.034564,1.912,1.675,2.38901,8.007904,BRA1,Testing,2024,0.0,0.0,0.0
6,Mádson,Athletico Paranaense,Athletico Paranaense,RB,RB,1,32,500000,2024-12-31,14,781,Brazil,Brazil,right,182,69,no,6.68,3.34225,2.30253,0.575,4.726696,9.220994999999998,BRA1,Testing,2024,0.1993232240042498,0.1847263738249409,0.1920247989145953
7,Fágner,Corinthians,Corinthians,"RB, RWB",RB,1,35,500000,2024-12-31,11,783,Brazil,Brazil,right,168,67,no,5.63,2.64231,0.228,2.069954,7.474907999999999,8.736,BRA1,Testing,2024,0.07836185782172783,0.1141287776004603,0.09624531771109407
8,Roni,Atlético GO,Atlético GO,"RB, RCMF, LCMF",RB,1,25,2000000,2025-12-31,13,795,Brazil,Brazil,right,174,68,yes,8.6,4.416,0.7915949999999999,2.71588,2.94483,13.361232,BRA1,Testing,2024,0.1657324173922521,0.2989464006007448,0.2323394089964984
9,R. Cáceres,Vitória,Vitória,"RB, RWB",RB,1,32,300000,2024-12-31,11,805,Paraguay,Paraguay,right,180,75,no,10.62,6.485941,1.451756,2.12325,5.592969,8.383954,BRA1,Testing,2024,0.5556231610952576,0.4692492734659419,0.5124362172805996
10,N. Ferraresi,São Paulo,São Paulo,"RB, RCB",RB,1,25,3500000,2027-12-31,11,815,Venezuela,"Venezuela, Italy",right,190,80,no,9.28,4.74957,1.875528,3.2045,8.06024,18.1068,BRA1,Testing,2024,0.9399367996340693,0.903211920643085,0.9215743601385771
11,Bruno Tubarão,Atlético GO,Atlético GO,RB,RB,1,29,500000,2024-12-31,12,828,Brazil,Brazil,right,180,70,no,7.17,3.69306,1.5232,1.739143,5.868,10.328656,BRA1,Testing,2024,0.3269064857711535,0.2983244381009963,0.3126154619360749
