Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
16,0.695447,0.333784,0.14575,0.420765,0.062198,0.166667,0.116279,0.416287,0.349398,0.256845,0.221719,Ramiro,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,19,1105,Brazil,"Brazil, Italy",right,168,67,no,BRA1,Testing,2024,Segundo Volante Organizador,0.222,17,33,48,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,10.0,18,21,11.0,30,15.0,23.0,12,11.0,14,69,45,36,66,9,54,30,63,66,57
17,0.99843,0.681353,0.170144,0.027322,0.0,0.033333,0.083721,0.400844,0.036145,0.141878,0.201288,Zé Welison,Fortaleza,Fortaleza,"RCMF, LCMF, LDMF",RCMF,8,29,2000000,2026-12-31,13,687,Brazil,Brazil,right,177,74,no,BRA1,Testing,2024,Segundo Volante Organizador,0.201,18,33,45,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,2.0,4,17,32.0,33,28.0,27.0,14,29.0,25,93,87,48,3,0,15,18,57,12,24
18,0.99686,0.364942,0.163562,0.0,0.117962,0.033333,0.027907,0.316277,0.0,0.027809,0.180952,Pedro Augusto,Fortaleza,Fortaleza,"LCMF, DMF, LDMF",LCMF,8,27,1500000,2024-12-31,23,1284,Brazil,Brazil,right,181,74,no,BRA1,Testing,2024,Segundo Volante Organizador,0.181,19,33,42,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,3.0,15,19,33.0,26,28.0,32.0,20,33.0,32,90,54,42,0,21,15,3,39,0,3
19,0.182104,0.272087,0.209982,0.311475,0.316325,0.066667,0.269767,0.41315,0.246988,0.449435,0.179859,Lucas Evangelista,Red Bull Bragantino,Red Bull Bragantino,"LCMF, RCMF",LCMF,8,29,4000000,2026-06-30,18,1502,Brazil,Brazil,right,181,79,no,BRA1,Testing,2024,Segundo Volante Organizador,0.18,20,33,39,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,28.0,21,15,19.0,19,22.5,12.0,13,17.0,9,15,36,54,42,42,31,63,60,48,72
20,0.568289,0.210264,0.103655,0.382514,0.446803,0.1,0.093023,0.283784,0.228916,0.271141,0.178712,Barreto,Criciúma,Criciúma,"RCMF, DMF",RCMF,8,28,500000,2024-12-31,17,1591,Brazil,"Brazil, Italy",right,181,78,no,BRA1,Testing,2024,Segundo Volante Organizador,0.179,21,33,36,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,15.0,27,23,14.5,12,19.0,26.0,24,18.5,12,54,18,30,56,63,42,21,27,43,63
21,0.009419,0.270309,0.03595,0.770492,0.406603,0.233333,0.209302,0.304906,0.493976,0.291882,0.170922,Jean Lucas,Bahia,Bahia,"LCMF, LAMF",LCMF,8,26,7000000,2028-12-31,24,2228,Brazil,Brazil,right,181,76,no,BRA1,Testing,2024,Segundo Volante Organizador,0.171,22,33,33,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,32.0,22,30,2.0,14,9.0,15.0,22,6.0,11,3,33,9,93,57,72,54,33,81,66
22,0.450549,0.207486,0.03624,0.68306,0.3507,0.2,0.381395,0.260153,0.228916,0.065487,0.151027,M. Zaracho,Atlético Mineiro,Atlético Mineiro,"LCMF, LW",LCMF,8,26,9000000,2025-12-31,13,802,Argentina,Argentina,right,171,64,no,BRA1,Testing,2024,Segundo Volante Organizador,0.151,23,33,30,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,19.0,28,29,6.0,17,11.0,7.0,25,18.5,29,42,15,12,81,48,66,78,24,43,12
23,0.653061,0.336818,0.110308,0.098361,0.262735,0.0,0.0,0.345554,0.006024,0.0,0.105314,Rômulo,Internacional,Internacional,"RCMF, RDMF, LDMF",RCMF,8,24,900000,2027-12-31,17,1154,Brazil,Brazil,right,182,75,no,BRA1,Testing,2024,Segundo Volante Organizador,0.105,24,33,27,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,13.0,17,22,29.5,21,32.5,33.0,18,31.5,33,60,48,33,10,36,1,0,45,4,0
24,0.613815,0.506438,0.068372,0.098361,0.344972,0.033333,0.069767,0.311098,0.006024,0.034214,0.101722,Léo Naldi,Vitória,Vitória,"LCMF, DMF",LCMF,8,23,400000,2026-12-31,17,1166,Brazil,Brazil,right,176,70,no,BRA1,Testing,2024,Segundo Volante Organizador,0.102,25,33,24,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,14.0,8,26,29.5,18,28.0,28.5,21,31.5,30,57,75,21,10,45,15,13,36,4,9
25,0.317111,0.461992,0.222018,0.218579,0.226753,0.2,0.162791,0.256478,0.066265,0.211915,0.092919,Newton,Criciúma,Criciúma,"RCMF, RDMF",RCMF,8,24,250000,2027-12-31,19,1473,Brazil,Brazil,right,188,78,yes,BRA1,Testing,2024,Segundo Volante Organizador,0.093,26,33,21,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,22.0,11,14,22.0,23,11.0,20.0,26,26.0,17,33,66,57,33,30,66,39,21,21,48
26,0.367347,0.083374,0.01143,0.743169,0.436308,0.033333,0.181395,0.25379,0.054217,0.140972,0.077858,Eric Ramires,Red Bull Bragantino,Red Bull Bragantino,"RCMF, RDMF",RCMF,8,24,4000000,2026-12-31,19,1146,Brazil,Brazil,right,174,67,no,BRA1,Testing,2024,Segundo Volante Organizador,0.078,27,33,18,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,21.0,32,32,3.0,13,28.0,18.0,27,27.0,26,36,3,3,90,60,15,45,18,18,21
27,0.532182,0.201388,0.012271,0.04918,0.386241,0.166667,0.102326,0.201733,0.10241,0.102078,0.051171,Dodi,Grêmio,Grêmio,"LCMF, RDMF, RCMF",LCMF,8,28,700000,2026-12-31,19,1479,Brazil,Brazil,right,169,67,no,BRA1,Testing,2024,Segundo Volante Organizador,0.051,28,33,15,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,17.0,29,31,31.0,15,15.0,25.0,30,24.5,27,48,12,6,6,54,54,24,9,25,18
28,0.420722,0.251046,0.065166,0.688525,0.162657,0.066667,0.144186,0.202967,0.271084,0.177173,0.042298,Willian Oliveira,Vitória,Vitória,"RCMF, LCMF",RCMF,8,31,500000,2024-12-31,24,2087,Brazil,Brazil,right,183,75,no,BRA1,Testing,2024,Segundo Volante Organizador,0.042,29,33,12,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,20.0,23,27,4.5,24,22.5,21.0,29,15.0,19,39,30,18,86,27,31,36,12,54,42
29,0.472527,0.439644,0.09457,0.131148,0.136729,0.033333,0.051163,0.663161,0.114458,0.165973,0.023374,Otávio,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, DMF",RCMF,8,30,4500000,2026-06-30,15,1408,Brazil,Brazil,right,176,73,no,BRA1,Testing,2024,Segundo Volante Organizador,0.023,30,33,9,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,18.0,12,25,26.0,25,28.0,30.0,5,23.0,20,45,63,24,21,24,15,9,84,30,39
30,1.0,0.0,0.0,0.125683,0.089008,0.033333,0.032558,0.0,0.048193,0.031173,0.008876,Ryan,Corinthians U20,Corinthians,"LCMF, RDMF",LCMF,8,21,0,,11,610,Brazil,Brazil,left,170,64,no,BRA1,Testing,2024,Segundo Volante Organizador,0.009,31,33,6,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,1.0,33,33,27.5,29,28.0,31.0,33,28.0,31,96,0,0,16,12,15,6,0,15,6
31,0.304553,0.166125,0.060166,0.442623,0.003567,0.166667,0.218605,0.179862,0.325301,0.148018,0.008098,A. Franco,Atlético Mineiro,Atlético Mineiro,"LCMF, RCMF",LCMF,8,26,3500000,2025-12-31,16,1319,Ecuador,Ecuador,right,174,73,no,BRA1,Testing,2024,Segundo Volante Organizador,0.008,32,33,3,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,23.5,30,28,10.0,32,15.0,14.0,31,12.0,24,28,9,15,69,3,54,57,6,63,27
32,0.124019,0.399413,0.151396,0.218579,0.255847,0.066667,0.190698,0.511014,0.10241,0.155643,0.0,Lucas Silva,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,22,1477,Brazil,Brazil,right,181,76,no,BRA1,Testing,2024,Segundo Volante Organizador,0.0,33,33,0,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,29.0,14,20,22.0,22,22.5,17.0,10,24.5,23,12,57,39,33,33,31,48,69,25,30
