Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
18,0.171726,0.588446,0.831034,0.408759,0.247368,0.746728,0.366041,0.42,Hugo Souza,Corinthians,Corinthians,GK,GK,0,25,1500000,2025-12-31,15,1564,Brazil,Brazil,right,199,87,yes,BRA1,Testing,2024,Goleiro,0.42,19,31,38,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,28.0,9.0,6,22.0,15.5,8,9.0,9,70,80,29,50,74,70
19,0.454527,0.373041,0.481034,0.350365,0.173684,0.500419,0.197468,0.379,Anderson,Cruzeiro,Cruzeiro,GK,GK,0,26,200000,2025-12-31,15,1513,Brazil,Brazil,left,190,77,no,BRA1,Testing,2024,Goleiro,0.379,20,31,35,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,18.0,19.0,18,24.0,23.0,18,19.0,41,38,41,22,25,41,38
20,0.363636,0.221227,0.594828,0.430657,0.684211,0.553613,0.105559,0.304,Matheus Mendes,Atlético Mineiro,Atlético Mineiro,GK,GK,0,25,300000,2026-12-31,12,1126,Brazil,Brazil,right,191,83,no,BRA1,Testing,2024,Goleiro,0.304,21,31,32,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,23.0,26.0,13,21.0,3.0,14,26.0,25,16,58,32,90,54,16
21,0.344677,0.336319,0.35,0.481752,0.184211,0.401986,0.173769,0.242,Gustavo,Criciúma,Criciúma,GK,GK,0,31,0,,28,2789,Brazil,Brazil,right,187,90,no,BRA1,Testing,2024,Goleiro,0.242,22,31,29,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,25.0,22.0,25,19.0,21.5,23,22.0,19,29,19,38,30,25,29
22,0.484848,0.15674,0.22931,0.846715,0.078947,0.304215,0.073678,0.216,Ronaldo,Atlético GO,Atlético GO,GK,GK,0,28,1200000,2025-12-31,25,2559,Brazil,Brazil,right,194,87,no,BRA1,Testing,2024,Goleiro,0.216,23,31,25,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,17.0,29.0,27,6.0,29.5,27,29.0,45,6,12,80,4,12,6
23,0.227273,0.248992,0.793103,0.262774,1.0,0.624469,0.121278,0.213,Pedro Rangel,Atlético GO,Atlético GO,GK,GK,0,24,600000,2026-12-31,6,606,Brazil,Brazil,right,192,88,yes,BRA1,Testing,2024,Goleiro,0.213,24,31,22,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,27.0,24.0,9,25.0,1.0,11,24.0,12,22,70,19,96,64,22
24,0.575758,0.107479,0.036207,0.583942,0.226316,0.0,0.046289,0.183,A. Rossi,Flamengo,Flamengo,GK,GK,0,29,7000000,2027-12-31,28,2837,Argentina,"Argentina, Italy",right,193,95,no,BRA1,Testing,2024,Goleiro,0.183,25,31,19,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,8.5,30.0,30,12.5,19.5,31,30.0,72,3,3,59,37,0,3
25,0.30303,0.216301,0.391379,0.532847,0.231579,0.430137,0.104431,0.161,Léo Linck,Athletico Paranaense,Athletico Paranaense,GK,GK,0,23,1000000,2026-12-31,14,1357,Brazil,Brazil,right,195,87,no,BRA1,Testing,2024,Goleiro,0.161,26,31,16,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,26.0,27.0,21,15.5,18.0,21,27.0,16,12,32,50,41,32,12
26,0.166667,0.49485,0.286207,0.0,0.226316,0.344077,0.288393,0.127,Mycael,Athletico Paranaense,Athletico Paranaense,GK,GK,0,20,0,,10,856,Brazil,Brazil,left,190,85,no,BRA1,Testing,2024,Goleiro,0.127,27,31,12,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,29.0,14.0,26,31.0,19.5,26,14.0,6,54,16,0,37,16,54
27,0.530303,0.170622,0.0,0.255474,0.136842,0.105105,0.079411,0.096,Rafael Cabral,Grêmio,Grêmio,GK,GK,0,34,400000,2025-12-31,6,511,Brazil,"Brazil, Portugal",right,186,83,yes,BRA1,Testing,2024,Goleiro,0.096,28,31,9,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,13.5,28.0,31,26.5,26.0,30,28.0,56,9,0,14,16,3,9
28,0.0,0.352441,0.62069,0.065693,0.0,0.564972,0.18111,0.083,Matheus Donelli,Corinthians,Corinthians,GK,GK,0,22,2000000,2028-06-30,7,726,Brazil,"Brazil, Italy",right,189,83,no,BRA1,Testing,2024,Goleiro,0.083,29,31,6,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,31.0,21.0,12,30.0,31.0,12,21.0,0,32,61,3,0,61,32
29,0.136364,0.354232,0.37931,0.189781,0.184211,0.396657,0.183857,0.055,Rafael,São Paulo,São Paulo,GK,GK,0,35,800000,2025-12-31,19,1946,Brazil,Brazil,left,192,81,no,BRA1,Testing,2024,Goleiro,0.055,30,31,3,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,30.0,20.0,23,29.0,21.5,24,20.0,3,35,25,6,30,22,35
30,0.348485,0.0,0.374138,0.19708,0.263158,0.41297,0.0,0.0,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,34,1800000,2025-12-31,19,1924,Brazil,Brazil,right,192,86,no,BRA1,Testing,2024,Goleiro,0.0,31,31,0,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,24.0,31.0,24,28.0,14.0,22,31.0,22,0,22,9,54,29,0
