Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
25,E. Rodríguez,Atlético GO,Atlético GO,CF,CF,12,21,0,,21,1219,Uruguay,Uruguay,left,190,77,yes,3.101,2.806615,0.2,0.0,0.0,0.1129943502824859,0.04,0.74,0.22,0.4430399999999999,BRA1,Testing,2024,0.6437749934049979,0.524914246856157,0.5848872890115516
26,G. Cano,Fluminense,Fluminense,CF,CF,12,36,1400000,2025-12-31,15,1220,Argentina,Argentina,right,177,72,no,0.44212,0.5154030000000001,0.25,8.333,0.6,0.1412429378531073,0.02,0.44,0.15,0.37,BRA1,Testing,2024,0.2446745984114074,0.2641508672171421,0.2546490007087084
27,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,38,1800000,2026-12-31,14,1295,Brazil,Brazil,left,180,85,no,1.040805,4.795496,0.47,14.894,1.042553191489362,0.1437308868501529,0.1,0.83,0.49,0.975,BRA1,Testing,2024,0.8002728726568995,0.8157362921740683,0.8087549597227369
28,Arthur Caíke,Criciúma,Criciúma,CF,CF,12,32,800000,2024-12-31,22,1314,Brazil,Brazil,right,174,71,no,1.9849,2.329767,0.27,13.333,1.0,0.1317073170731708,0.06,0.34,0.21,0.206646,BRA1,Testing,2024,0.8125958038300441,0.737225368284427,0.7756302296478563
29,F. Cristaldo,Grêmio,Grêmio,"CF, AMF",CF,12,28,10000000,2026-12-31,20,1424,Argentina,"Argentina, Paraguay",right,175,69,no,1.074249,2.592716,0.33,12.121,0.7575757575757576,0.1578947368421053,0.16,1.26,0.06,1.264,BRA1,Testing,2024,0.6293964963552073,0.6326119084495136,0.6315902030817732
30,J. López,Palmeiras,Palmeiras,CF,CF,12,23,8000000,2027-12-31,22,1425,Argentina,Argentina,left,190,74,no,3.79053,1.9578,0.42,17.073,1.047619047619048,0.1621621621621622,0.11,0.44,0.38,0.44157,BRA1,Testing,2024,0.9532268286624719,0.9815645660303554,0.9682940979176738
31,Júnior Santos,Botafogo,Botafogo,CF,CF,12,29,4000000,2027-12-31,17,1453,Brazil,Brazil,right,188,85,no,1.48482,3.158317,0.35,9.091,0.5428571428571429,0.1715686274509804,0.09,0.68,0.56,0.4953,BRA1,Testing,2024,0.6753025218347605,0.7047069244474544,0.6906455163957629
32,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,21,1505,Argentina,Argentina,right,179,75,no,0.717885,1.972056,0.39,25.0,1.230769230769231,0.2041884816753927,0.03,0.18,0.18,0.06,BRA1,Testing,2024,0.7615605477224181,0.7601239677411451,0.7615488363540146
33,Rony,Palmeiras,Palmeiras,"CF, LAMF",CF,12,29,9000000,2026-12-31,24,1525,Brazil,Brazil,right,166,65,no,0.826,1.888568,0.32,10.811,0.75,0.1467889908256881,0.1,0.77,0.47,0.7669409999999999,BRA1,Testing,2024,0.4643501001196875,0.4771735062972728,0.4711989900536254
34,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,19,1612,Brazil,Brazil,right,182,78,no,1.5078,2.73546,0.3,8.696,0.7333333333333334,0.1167315175097276,0.04,0.45,0.17,0.5014620000000001,BRA1,Testing,2024,0.5939432288834063,0.6266987532273274,0.6108877836600065
35,Everaldo,Bahia,Bahia,"CF, RWF, RW",CF,12,33,650000,2025-12-31,24,1633,Brazil,Brazil,right,182,87,no,2.14756,2.47941,0.31,14.634,1.064516129032258,0.1371681415929204,0.05,0.61,0.28,0.6070260000000001,BRA1,Testing,2024,0.8592358674248298,0.8296371826139817,0.8452207359256063
36,Y. Bolasie,Criciúma,Criciúma,"CF, LWF",CF,12,35,250000,2024-12-31,21,1655,Congo DR,"Congo DR, England",right,185,84,no,1.357956,3.913581,0.31,12.0,1.064516129032258,0.1139705882352941,0.07,0.38,0.16,0.705,BRA1,Testing,2024,0.7529418661421005,0.7554506247859389,0.7548966520707742
37,Alerrandro,Vitória,Vitória,CF,CF,12,24,3000000,2026-12-31,24,1667,Brazil,Brazil,right,176,74,yes,1.351129,2.645489,0.37,16.216,0.8648648648648649,0.185,0.05,0.65,0.22,0.54171,BRA1,Testing,2024,0.7744400384380266,0.7689075362902968,0.7723904250061279
38,J. Calleri,São Paulo,São Paulo,CF,CF,12,30,3500000,2026-12-31,21,1760,Argentina,"Argentina, Italy",right,181,77,no,2.965218000000001,2.710434,0.21,18.519,1.238095238095238,0.1521739130434783,0.05,0.46,0.26,0.458602,BRA1,Testing,2024,0.9307735283789937,0.9553189050841964,0.9439220044389008
39,Thaciano,Bahia,Bahia,"CF, LWF",CF,12,29,2000000,2027-12-31,24,1785,Brazil,Brazil,right,182,73,no,1.562896,1.259836,0.24,17.647,1.25,0.1403508771929824,0.07,0.55,0.4,0.505852,BRA1,Testing,2024,0.6161236260793796,0.629070750870685,0.6231753817327915
40,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,1.211224,2.03159,0.49,26.19,1.081632653061225,0.2413793103448276,0.08,1.16,0.48,0.6313799999999999,BRA1,Testing,2024,0.8532484243867637,0.8615266897277729,0.8581837953216772
41,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,21,1870,Brazil,Brazil,right,177,80,no,0.4809619999999999,2.309202,0.22,20.0,1.318181818181818,0.1527777777777778,0.06,0.96,0.1,0.82,BRA1,Testing,2024,0.6373094324927513,0.6480385042538455,0.6432708065253643
42,Cauly,Bahia,Bahia,"CF, AMF",CF,12,28,6000000,2028-12-31,25,1999,Brazil,"Brazil, Germany",right,175,68,no,0.18103,2.835,0.1,6.667,0.8999999999999999,0.07407407407407407,0.12,0.9,0.45,0.855,BRA1,Testing,2024,0.3327164215531553,0.3331534067785982,0.3332441040019486
43,I. Pitta,Cuiabá,Cuiabá,CF,CF,12,25,4000000,2026-12-31,23,2042,Paraguay,Paraguay,right,183,88,no,1.586494,2.336951,0.42,14.894,0.7380952380952381,0.2028985507246377,0.11,0.57,0.31,0.4827690000000001,BRA1,Testing,2024,0.7092101809984228,0.7591130201337679,0.7348434014084549
44,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,35,750000,2025-12-31,22,2137,Argentina,Argentina,right,187,86,no,4.80318,2.022756,0.47,11.94,0.723404255319149,0.1666666666666667,0.03,0.25,0.13,0.126437,BRA1,Testing,2024,0.965753834592938,0.9743265005623032,0.9709410240142241
45,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,23,2211,Brazil,"Brazil, Portugal",left,175,74,no,0.48949,4.192125,0.15,12.0,1.6,0.07352941176470588,0.19,1.99,0.65,2.159073,BRA1,Testing,2024,0.7357177565117656,0.7285052856650047,0.7327914180639209
