Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
54,Claudinho,Criciúma,Criciúma,RB,RB,1,24,1200000,2025-12-31,30,2079,Brazil,Brazil,right,180,75,no,9.57,1.991487,6.492416,1.56,1.47183,0.87,0.4752,1.95,0.39,0.08,1.3,3.637232,0.78,0.69,1.081624,BRA1,Testing,2024,0.5163589411090176,0.526011150769453,0.5211850459392353
55,A. Bernabéi,Internacional,Internacional,LB,LB,1,24,2000000,2027-05-31,16,1620,Argentina,"Argentina, Italy",left,169,65,yes,10.5,1.891428,6.501589999999998,3.33,2.332296,2.17,1.497184,1.94,0.39,0.14,1.11,4.054785,0.94,1.28,1.279464,BRA1,Testing,2024,0.7111858480598344,0.6633101245227947,0.6872479862913146
56,Lucas Piton,Vasco da Gama,Vasco da Gama,LB,LB,1,24,7000000,2028-12-31,25,2370,Brazil,"Brazil, Italy",left,175,64,no,7.94,2.201721,5.508772,2.89,1.520038,0.61,0.87516,1.63,0.19,0.18,1.37,2.35305,0.34,1.9,2.053248,BRA1,Testing,2024,0.4531404056706929,0.5093675012641203,0.4812539534674066
57,Ewerthon,Juventude,Juventude,"RB, RAMF",RB,1,24,750000,2026-07-31,18,932,Brazil,Brazil,right,171,69,yes,5.79,1.543139,2.51343,2.03,1.447853,1.26,0.87,0.68,0.19,0.09,0.58,1.256715,0.58,0.29,0.579,BRA1,Testing,2024,0.0,0.0,0.0
58,Welington,São Paulo,São Paulo,"LB, LWB",LB,1,23,3500000,2024-12-31,21,1797,Brazil,Brazil,left,177,73,no,7.66,2.0559,4.607417999999999,2.35,3.405304000000001,0.6,1.349925,2.05,0.6,0.03,0.55,4.208402,0.55,0.7,1.249875,BRA1,Testing,2024,0.2928908609714458,0.3215815530362026,0.3072362070038241
59,Ramon,Cuiabá,Cuiabá,LB,LB,1,23,2500000,2027-06-30,24,2378,Brazil,Brazil,left,179,70,yes,8.63,1.133884,4.841227,1.74,1.667014,0.61,0.75609,1.14,0.15,0.03,0.79,2.763579,0.26,0.87,0.982761,BRA1,Testing,2024,0.2629028898042799,0.2391986388472133,0.2510507643257466
60,Bruno Gomes,Internacional,Internacional,RB,RB,1,23,2500000,2027-12-31,23,1739,Brazil,"Brazil, Italy",right,175,77,no,11.33,2.483292,6.467262000000001,1.6,2.69244,0.52,0.8809920000000001,1.45,0.05,0.06,0.57,5.486376,0.67,0.47,0.8791169999999999,BRA1,Testing,2024,0.5530016729600404,0.5683927881145406,0.5606972305372905
61,Alisson,Atlético Mineiro,Atlético Mineiro,"RWB, RAMF, RW",RWB,1,19,0,,13,718,Brazil,Brazil,left,175,63,no,4.89,1.505304,3.510531,6.77,7.770377999999999,2.76,5.011464,3.64,0.5,0.1,0.5,1.627776,1.0,1.0,1.379306,BRA1,Testing,2024,0.4070805440296054,0.3487409215787267,0.377910732804166
62,A. Giay,Palmeiras,Palmeiras,"RB, RWB",RB,1,20,0,,8,601,Argentina,Argentina,right,180,73,no,12.58,2.095,5.841875,1.65,2.394704,0.75,0.6,2.55,0.45,0.0,0.15,4.792648000000001,0.45,0.6,0.89991,BRA1,Testing,2024,0.5086529777543152,0.4870363574365074,0.4978446675954112
63,Wesley,Flamengo,Flamengo,RB,RB,1,21,0,,25,2115,Brazil,Brazil,right,178,73,no,10.3,0.51106,3.747163,2.85,3.362706,1.4,1.615136,2.17,0.43,0.07,0.68,2.934489,0.51,1.02,1.19,BRA1,Testing,2024,0.4073930785298304,0.3843630474556579,0.3958780629927441
64,Rikelme,Shabab Al Ahli Dubai,Cuiabá,"LB, LWB",LB,1,21,0,2025-12-31,8,555,Brazil,Brazil,left,184,80,no,8.76,1.458,4.540227,2.11,1.621004,0.32,1.134,0.49,0.16,0.01,0.49,1.618198,0.32,0.49,1.136568,BRA1,Testing,2024,0.2154595378140396,0.2006738376879637,0.2080666877510017
65,M. Ponte,Botafogo,Botafogo,RB,RB,1,21,1500000,2026-12-31,14,1030,Uruguay,Uruguay,right,183,77,no,8.65,1.309563,5.158531,2.53,1.924,1.4,1.312465,1.05,0.09,0.03,0.44,2.532492,0.61,1.14,1.395801,BRA1,Testing,2024,0.4429833957155981,0.3978897972394462,0.4204365964775221
66,Kaiki,Cruzeiro,Cruzeiro,LB,LB,1,21,0,,15,1030,Brazil,Brazil,left,172,69,no,11.1,0.6110840000000001,3.320721,2.36,3.846348,1.31,1.747316,2.8,0.61,0.07,0.52,2.798192,0.44,0.7,0.7875,BRA1,Testing,2024,0.2980114248068765,0.2792969948174982,0.2886542098121873
67,Cuiabano,Botafogo,Botafogo,LB,LB,1,21,0,,21,1653,Brazil,Brazil,left,179,82,no,10.34,1.414984,5.005604,2.56,2.178878,1.63,0.923721,1.2,0.16,0.13,0.6,2.882498,0.38,0.98,0.978993,BRA1,Testing,2024,0.4771629739629262,0.4405212398669988,0.4588421069149624
68,B. Palacios,Atlético Mineiro,Atlético Mineiro,"RWB, RW",RWB,1,21,0,,17,785,Colombia,Colombia,left,178,74,no,6.65,0.34288,3.094581,6.76,5.273374,1.95,4.356096,4.24,0.23,0.06,0.69,0.805,0.46,1.26,1.375806,BRA1,Testing,2024,0.3641883942479545,0.3480068413630673,0.3560976178055109
69,Vanderlan,Palmeiras,Palmeiras,"LB, LWB",LB,1,22,4000000,2028-12-31,20,1007,Brazil,Brazil,left,184,74,no,9.65,0.895,3.752324999999999,2.06,1.24989,0.89,0.8046880000000001,1.43,0.18,0.14,0.63,1.606136,0.45,1.07,1.428166,BRA1,Testing,2024,0.2957594357572059,0.2981523813653339,0.2969559085612699
70,Nathan Mendes,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1000000,2028-12-31,16,1311,Brazil,Brazil,right,182,79,no,8.24,2.126649,6.587872,1.51,1.37511,1.1,0.757764,1.51,0.69,0.05,0.55,3.913413,0.21,0.55,0.54743,BRA1,Testing,2024,0.4161394917926704,0.4115044104932198,0.4138219511429451
71,Guilherme,Red Bull Bragantino,Red Bull Bragantino,LB,LB,1,22,500000,2024-12-31,11,700,Brazil,Brazil,left,177,69,no,10.54,2.56875,4.631418,2.44,2.056322,0.26,1.28574,0.9,0.26,0.02,0.26,2.183692,0.26,1.03,1.15875,BRA1,Testing,2024,0.3807561266967906,0.3608061816759859,0.3707811541863882
72,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1800000,2026-12-31,11,912,Ecuador,Ecuador,right,178,69,no,8.78,1.480494,4.9357,1.88,0.9880000000000001,0.69,0.788532,1.09,0.3,0.02,0.49,2.861856,0.2,0.79,0.788532,BRA1,Testing,2024,0.2480679954582776,0.2267947358388301,0.2374313656485538
73,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,23,3000000,2028-06-30,24,2161,Argentina,Argentina,left,183,69,no,8.75,2.7085,8.204336,3.17,2.542496,0.79,1.543955,1.62,0.12,0.13,1.08,5.120208,0.5,1.25,1.749085,BRA1,Testing,2024,0.8975145036063639,0.8586718736425664,0.878093188624465
74,Hugo,Botafogo,Botafogo,LB,LB,1,23,3000000,2026-12-31,9,513,Brazil,Brazil,left,175,67,no,9.82,1.404304,4.209336,1.93,1.2285,0.88,0.35,1.4,0.35,0.15,1.05,2.102752,0.35,1.58,1.578444,BRA1,Testing,2024,0.3524399554545311,0.3544971300351826,0.3534685427448568
75,Rubens,Atlético Mineiro,Atlético Mineiro,"LWB, LB",LWB,1,23,4000000,2027-12-31,12,797,Brazil,Brazil,left,178,66,no,11.41,1.241118,4.743108,2.37,2.709164,1.69,1.356,1.36,0.0,0.13,1.13,2.256320000000001,0.34,0.68,0.79206,BRA1,Testing,2024,0.4320813291645752,0.4005241120162761,0.4163027205904256
