Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
44,David,Vasco da Gama,Vasco da Gama,"LAMF, LW, LWF",LAMF,10,28,2000000,2025-12-31,20,1587,Brazil,Brazil,right,180,71,yes,3.5721,2.61,1.53,0.51,1.7,0.13,0.339966,14.815,0.11,0.96,1.08,0.57,0.51,BRA1,Testing,2024,0.5074511179874325,0.4975521396369729,0.5048985717807548
45,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,23,1609,Colombia,Colombia,right,175,68,no,6.094647,2.46,3.524997,0.95,1.85,0.11,0.447228,0.0,0.04,0.84,0.73,0.73,0.28,BRA1,Testing,2024,0.2937529664597031,0.2932487359144068,0.2949008562043119
46,Breno Lopes,Fortaleza,Fortaleza,"LAMF, LW",LAMF,10,28,1800000,2024-12-31,22,1637,Brazil,Brazil,right,178,72,yes,5.222014000000001,2.86,2.750022,1.1,1.7,0.14,0.713088,11.429,0.13,0.71,0.38,0.82,0.16,BRA1,Testing,2024,0.5201591565287647,0.5005323210660388,0.5127800983297927
47,Wesley,Internacional,Internacional,"LAMF, RAMF, LW",LAMF,10,25,5500000,2026-12-31,20,1637,Brazil,Brazil,right,175,64,no,7.584899,3.02,4.397049,0.66,2.31,0.22,0.9881399999999999,10.638,0.11,0.77,0.77,0.77,0.33,BRA1,Testing,2024,0.5842845264514565,0.5761490407533462,0.5829844294366627
48,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,7.088932,2.47,4.724844,0.82,1.37,0.1,0.7149449999999998,6.667,0.09,1.15,0.88,0.93,0.27,BRA1,Testing,2024,0.4141264137626193,0.4595360079964395,0.4389149046216508
49,Luiz Araújo,Flamengo,Flamengo,"RAMF, RW, AMF",RAMF,10,28,4000000,2027-12-31,22,1673,Brazil,Brazil,left,175,70,no,4.734236,2.37,3.015056,0.54,1.51,0.1,0.8616300000000001,7.692,0.23,1.4,0.97,0.7,0.48,BRA1,Testing,2024,0.6289636253515105,0.5954701349879385,0.615137167114108
50,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,22,1779,Brazil,Brazil,left,194,84,yes,2.985147,2.18,1.414656,0.46,2.07,0.14,0.405384,13.333,0.06,0.66,0.71,0.61,0.4,BRA1,Testing,2024,0.429846840544036,0.4254258638203529,0.4296761862617044
51,Luiz Henrique,Botafogo,Botafogo,"RAMF, RW",RAMF,10,23,12000000,2028-12-31,24,1805,Brazil,Brazil,left,182,77,no,5.584083,2.89,3.488026,0.15,1.65,0.17,0.5999399999999999,15.152,0.11,1.0,0.85,0.65,0.55,BRA1,Testing,2024,0.6002321812597434,0.5920094276719983,0.59896431280245
52,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RAMF,10,30,8000000,2027-12-31,21,1827,Brazil,"Brazil, Italy",left,176,74,no,4.286949,1.48,2.4647,0.3,3.65,0.2,0.886578,7.407,0.17,1.48,1.38,2.02,0.44,BRA1,Testing,2024,0.644854118502451,0.6477552092139542,0.6493875502226493
53,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,25,1839,Brazil,Brazil,right,174,79,no,2.595606,1.76,1.4184,0.44,1.47,0.14,0.6831999999999999,12.0,0.1,0.44,0.39,0.2,0.24,BRA1,Testing,2024,0.4175320465502624,0.3686657985833907,0.3949740124060758
54,Matheuzinho,Vitória,Vitória,"RW, AMF, RWF",RW,10,26,1500000,2025-12-31,23,1868,Brazil,Brazil,right,165,59,no,4.819069999999999,1.3,2.16776,0.87,0.72,0.12,0.7243339999999999,11.429,0.18,1.2,0.58,0.48,0.24,BRA1,Testing,2024,0.5265342409360622,0.4814294188559087,0.5063858334537503
55,Shaylon,Atlético GO,Atlético GO,"RWF, RW, LCMF",RWF,11,27,2000000,2025-12-31,24,1941,Brazil,Brazil,left,178,70,no,1.112616,1.34,0.6047640000000001,0.14,0.74,0.18,0.416768,5.263,0.21,2.13,0.83,1.07,0.46,BRA1,Testing,2024,0.4648558688142612,0.5222353747748908,0.4958998444278768
56,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,24,1959,Brazil,Brazil,left,184,78,no,4.732150000000001,2.25,2.11344,0.37,1.47,0.07,0.321382,4.545,0.06,0.74,1.52,0.69,0.28,BRA1,Testing,2024,0.2495681742191561,0.275182956676412,0.2636271022203245
57,Luiz Fernando,Atlético GO,Atlético GO,"LWF, LW, LAMF",LWF,11,27,1500000,2024-12-31,23,2194,Brazil,Brazil,right,178,65,no,3.692868,2.75,1.765,0.66,1.8,0.23,0.695728,13.953,0.04,0.74,1.03,0.49,0.29,BRA1,Testing,2024,0.5646452048584814,0.5541381940830655,0.5620600092310469
