Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
28,Arthur Caíke,Criciúma,Criciúma,CF,CF,12,32,800000,2024-12-31,22,1314,Brazil,Brazil,right,174,71,no,2.329767,0.409364,0.21,0.27,0.7517349999999999,13.333,1.0,0.1317073170731708,0.06,0.55,0.34,0.21,0.206646,BRA1,Testing,2024,0.5428808104328001,0.5295311814149439,0.5360062427281077
29,F. Cristaldo,Grêmio,Grêmio,"CF, AMF",CF,12,28,10000000,2026-12-31,20,1424,Argentina,"Argentina, Paraguay",right,175,69,no,2.592716,0.7584000000000001,0.06,0.33,0.823251,12.121,0.7575757575757576,0.1578947368421053,0.16,1.9,1.26,0.06,1.264,BRA1,Testing,2024,0.7324358356236564,0.6603313677630307,0.7002775570337114
30,J. López,Palmeiras,Palmeiras,CF,CF,12,23,8000000,2027-12-31,22,1425,Argentina,Argentina,left,190,74,no,1.9578,1.073397,0.13,0.42,1.010618,17.073,1.047619047619048,0.1621621621621622,0.11,0.63,0.44,0.38,0.44157,BRA1,Testing,2024,0.6994466265350052,0.7465358699526382,0.7275652234239596
31,Júnior Santos,Botafogo,Botafogo,CF,CF,12,29,4000000,2027-12-31,17,1453,Brazil,Brazil,right,188,85,no,3.158317,1.487052,0.87,0.35,0.8035559999999999,9.091,0.5428571428571429,0.1715686274509804,0.09,0.68,0.68,0.56,0.4953,BRA1,Testing,2024,0.7212880048289576,0.7043536025057177,0.7171348496546336
32,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,21,1505,Argentina,Argentina,right,179,75,no,1.972056,0.4200120000000001,0.06,0.39,1.014783,25.0,1.230769230769231,0.2041884816753927,0.03,0.3,0.18,0.18,0.06,BRA1,Testing,2024,0.8282920601679122,0.7833125490646632,0.8124927075375544
33,Rony,Palmeiras,Palmeiras,"CF, LAMF",CF,12,29,9000000,2026-12-31,24,1525,Brazil,Brazil,right,166,65,no,1.888568,0.7686720000000001,0.12,0.32,1.06057,10.811,0.75,0.1467889908256881,0.1,0.94,0.77,0.47,0.7669409999999999,BRA1,Testing,2024,0.5645188649574686,0.6288483125642439,0.5980294800817032
34,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,19,1612,Brazil,Brazil,right,182,78,no,2.73546,1.285546,0.22,0.3,1.005641,8.696,0.7333333333333334,0.1167315175097276,0.04,0.56,0.45,0.17,0.5014620000000001,BRA1,Testing,2024,0.5041413208341479,0.510416291917248,0.5063397520634586
35,Everaldo,Bahia,Bahia,"CF, RWF, RW",CF,12,33,650000,2025-12-31,24,1633,Brazil,Brazil,right,182,87,no,2.47941,1.1,0.22,0.31,1.102428,14.634,1.064516129032258,0.1371681415929204,0.05,0.55,0.61,0.28,0.6070260000000001,BRA1,Testing,2024,0.7385487190543885,0.7096721772181294,0.7287130270536751
36,Y. Bolasie,Criciúma,Criciúma,"CF, LWF",CF,12,35,250000,2024-12-31,21,1655,Congo DR,"Congo DR, England",right,185,84,no,3.913581,2.391784,0.38,0.31,1.3056,12.0,1.064516129032258,0.1139705882352941,0.07,0.54,0.38,0.16,0.705,BRA1,Testing,2024,0.6619628980669243,0.7430161236929659,0.7065395168270003
37,Alerrandro,Vitória,Vitória,CF,CF,12,24,3000000,2026-12-31,24,1667,Brazil,Brazil,right,176,74,yes,2.645489,0.7560000000000001,0.05,0.37,0.8108,16.216,0.8648648648648649,0.185,0.05,0.76,0.65,0.22,0.54171,BRA1,Testing,2024,0.70033982662121,0.6886445807155481,0.6983378199653282
38,J. Calleri,São Paulo,São Paulo,CF,CF,12,30,3500000,2026-12-31,21,1760,Argentina,"Argentina, Italy",right,181,77,no,2.710434,0.9231540000000001,0.0,0.21,0.6644699999999999,18.519,1.238095238095238,0.1521739130434783,0.05,0.51,0.46,0.26,0.458602,BRA1,Testing,2024,0.6788039269560648,0.6574027349704881,0.6712745186911828
39,Thaciano,Bahia,Bahia,"CF, LWF",CF,12,29,2000000,2027-12-31,24,1785,Brazil,Brazil,right,182,73,no,1.259836,0.455625,0.15,0.24,0.653904,17.647,1.25,0.1403508771929824,0.07,0.61,0.55,0.4,0.505852,BRA1,Testing,2024,0.6454531448642052,0.6371461056123907,0.6437857823815655
40,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,2.03159,0.8243200000000002,0.05,0.49,1.305087,26.19,1.081632653061225,0.2413793103448276,0.08,0.63,1.16,0.48,0.6313799999999999,BRA1,Testing,2024,1.0,0.9772736768711979,0.9999999999999999
41,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,21,1870,Brazil,Brazil,right,177,80,no,2.309202,1.3005,0.87,0.22,0.816048,20.0,1.318181818181818,0.1527777777777778,0.06,0.87,0.96,0.1,0.82,BRA1,Testing,2024,0.8765891930164865,0.8420261573588106,0.8673655313879469
42,Cauly,Bahia,Bahia,"CF, AMF",CF,12,28,6000000,2028-12-31,25,1999,Brazil,"Brazil, Germany",right,175,68,no,2.835,1.439919,0.68,0.1,0.314955,6.667,0.8999999999999999,0.07407407407407407,0.12,1.26,0.9,0.45,0.855,BRA1,Testing,2024,0.5620429276083857,0.5644781391993214,0.5637522213773517
43,I. Pitta,Cuiabá,Cuiabá,CF,CF,12,25,4000000,2026-12-31,23,2042,Paraguay,Paraguay,right,183,88,no,2.336951,0.792,0.18,0.42,1.013058,14.894,0.7380952380952381,0.2028985507246377,0.11,0.84,0.57,0.31,0.4827690000000001,BRA1,Testing,2024,0.7232141911699547,0.7353724846935763,0.7340283775642471
44,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,35,750000,2025-12-31,22,2137,Argentina,Argentina,right,187,86,no,2.022756,0.463951,0.13,0.47,1.052142,11.94,0.723404255319149,0.1666666666666667,0.03,0.29,0.25,0.13,0.126437,BRA1,Testing,2024,0.4676354583962123,0.5041584813361869,0.4844114533552238
45,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,23,2211,Brazil,"Brazil, Portugal",left,175,74,no,4.192125,1.751748,0.37,0.15,0.6936,12.0,1.6,0.07352941176470588,0.19,1.83,1.99,0.65,2.159073,BRA1,Testing,2024,0.95023321579395,0.9415058858979511,0.9561396956341804
