Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Ganso,Fluminense,9,left,BRA1,2024,Meia,Meia
Eduardo,Botafogo,12,right,BRA1,2024,Atacante,Atacante
Bruno Henrique,Internacional,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
E. Valencia,Internacional,12,right,BRA1,2024,Atacante,Atacante
E. Vargas,Atlético Mineiro,12,right,BRA1,2024,Atacante,Atacante
Edenílson,Grêmio,10,right,BRA1,2024,Extremo,Extremo
Manoel,Fluminense,4,right,BRA1,2024,Zagueiro,Zagueiro
Lucas Sasha,Fortaleza,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Rafael Cabral,Grêmio,0,right,BRA1,2024,Goleiro,Goleiro
Marinho,Fortaleza,10,left,BRA1,2024,Extremo,Extremo
Samuel Xavier,Fluminense,1,right,BRA1,2024,Lateral Direito,Lateral
Fábio,Grêmio,1,right,BRA1,2024,Lateral Direito,Lateral
Marquinhos Gabriel,Criciúma,10,left,BRA1,2024,Extremo,Extremo
Éverson,Atlético Mineiro,0,right,BRA1,2024,Goleiro,Goleiro
Bruno Henrique,Flamengo,10,right,BRA1,2024,Extremo,Extremo
Tiquinho Soares,Botafogo,12,right,BRA1,2024,Atacante,Atacante
Fellipe Mateus,Criciúma,10,left,BRA1,2024,Extremo,Extremo
W. Kannemann,Grêmio,4,left,BRA1,2024,Zagueiro,Zagueiro
Bastos,Botafogo,4,right,BRA1,2024,Zagueiro,Zagueiro
Bruno Alves,Cuiabá,4,right,BRA1,2024,Zagueiro,Zagueiro
