Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
13,0.593571,0.429407,0.515382,0.307132,0.5136,0.525406,0.152941,0.186384,0.507246,0.053802,0.212598,0.074074,0.388889,0.704819,0.569245,0.515625,0.402116,0.433543,0.610247,Mayke,Palmeiras,Palmeiras,RB,RB,1,31,3000000,2025-12-31,19,1091,Brazil,Brazil,right,179,68,no,BRA1,Testing,2024,Lateral Equilibrado,0.61,14,76,81,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,16.0,21,17,46,20,10,55.0,43,15.0,61.0,51.0,70.0,41.5,5.0,14,17.0,34.0,28.0,78,72,77,39,73,86,27,43,80,19,32,7,45,93,81,77,55,63
14,0.328358,0.187672,0.014691,0.701362,0.736936,0.379835,0.467227,0.357177,0.311594,0.39772,0.278215,0.0,0.388889,0.427711,0.880243,0.429688,0.291005,0.373052,0.593254,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,17,1150,Brazil,"Brazil, Spain",left,174,75,no,BRA1,Testing,2024,Lateral Equilibrado,0.593,15,76,80,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,52.0,60,74,6,3,23,4.0,12,43.5,5.0,39.0,75.5,41.5,27.5,3,29.5,49.0,39.0,31,21,2,92,96,69,94,84,42,93,48,0,45,63,96,61,35,48
15,0.375431,0.24174,0.131088,0.584832,0.527597,0.487039,0.215126,0.28191,0.496377,0.085681,0.225722,0.527778,0.444444,0.349398,0.542618,0.507812,0.26455,0.320984,0.587387,Matheus Bidu,Corinthians,Corinthians,"LB, LWB",LB,1,25,2000000,2025-12-31,16,1114,Brazil,Brazil,left,172,72,no,BRA1,Testing,2024,Lateral Equilibrado,0.587,16,76,78,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,41.0,55,69,10,18,12,41.5,19,17.5,52.0,48.0,15.0,35.0,39.0,16,19.0,52.5,45.0,46,27,9,86,76,84,45,75,76,31,36,80,53,48,78,75,30,40
16,0.365098,0.429929,0.385132,0.32861,0.46768,0.565521,0.109244,0.0,0.597826,0.008747,0.464567,0.509259,0.611111,0.240964,0.80078,0.289062,0.365079,0.342756,0.577046,Iago,Bahia,Bahia,LB,LB,1,27,4000000,2028-12-31,13,512,Brazil,"Brazil, Italy",left,181,67,no,BRA1,Testing,2024,Lateral Equilibrado,0.577,17,76,77,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,46.5,20,29,44,27,9,66.0,76,7.0,72.0,16.0,16.5,17.5,56.5,4,51.0,38.0,43.0,38,73,61,42,64,88,13,0,90,5,78,78,76,25,94,32,50,43
17,0.221584,0.179889,0.173025,0.09651,0.32072,0.366842,0.336134,0.301654,0.423913,0.159068,0.755906,0.361111,0.166667,0.319277,0.337813,0.757812,0.550265,0.653513,0.562456,Caio Paulista,Palmeiras,Palmeiras,LB,LB,1,26,3500000,2028-12-31,17,924,Brazil,Brazil,left,184,78,no,BRA1,Testing,2024,Lateral Equilibrado,0.562,18,76,76,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,63.0,61,65,73,50,25,20.0,15,25.0,34.0,3.0,30.0,68.0,42.5,47,4.0,15.0,7.0,17,19,14,3,34,67,73,80,67,55,96,60,10,44,38,94,80,90
18,0.126292,0.131579,0.0,0.45746,0.692209,0.285162,0.381513,0.177663,0.173913,0.116036,0.115486,0.268519,1.0,0.722892,0.245904,0.679688,1.0,0.967054,0.54296,Fágner,Corinthians,Corinthians,"RB, RWB",RB,1,35,500000,2024-12-31,13,932,Brazil,Brazil,right,168,67,no,BRA1,Testing,2024,Lateral Equilibrado,0.543,19,76,75,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,71.0,69,76,19,7,37,16.0,46,66.0,43.0,69.5,38.0,1.5,4.0,64,7.0,1.0,2.0,6,9,0,75,90,51,78,39,13,43,8,50,98,94,15,90,98,97
19,0.280138,0.276133,0.128769,0.312864,0.568355,0.466438,0.215126,0.27413,0.311594,0.159707,0.461942,0.435185,0.611111,0.475904,0.604005,0.4375,0.333333,0.313241,0.537218,Igor Vinícius,São Paulo,São Paulo,"RB, RWB",RB,1,27,2500000,2025-12-31,23,2099,Brazil,Brazil,right,174,70,no,BRA1,Testing,2024,Lateral Equilibrado,0.537,20,76,73,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,56.0,45,70,45,14,15,41.5,24,43.5,33.0,17.5,23.0,17.5,20.0,11,27.5,44.0,46.0,26,40,7,40,81,80,45,68,42,56,76,69,76,73,85,63,42,39
20,0.644087,0.479921,0.384157,0.341897,0.50176,0.263429,0.421849,0.246915,0.786232,0.250281,0.396325,0.361111,0.777778,0.578313,0.495891,0.734375,0.555556,0.416259,0.532044,A. Bernabéi,Internacional,Internacional,LB,LB,1,24,2000000,2027-05-31,16,1620,Argentina,"Argentina, Italy",left,169,65,yes,BRA1,Testing,2024,Lateral Equilibrado,0.532,21,76,72,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,11.0,17,30,41,23,43,10.5,33,2.0,18.0,26.0,30.0,6.5,9.0,21,5.0,13.5,30.0,85,77,60,46,69,43,86,56,97,76,65,60,91,88,72,93,82,60
21,0.172216,0.193698,0.423762,0.338458,0.540286,0.332802,0.421849,0.24139,0.101449,0.212375,0.543307,0.194444,0.388889,0.493976,0.65071,0.109375,0.724868,0.606367,0.494901,Bruno Tubarão,Atlético GO,Atlético GO,RB,RB,1,29,500000,2024-12-31,17,1296,Brazil,Brazil,right,180,70,no,BRA1,Testing,2024,Lateral Equilibrado,0.495,22,76,71,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,69.0,59,24,42,17,29,10.5,34,70.0,22.0,10.0,48.5,41.5,18.0,8,73.0,6.0,12.0,9,22,68,44,77,61,86,55,7,71,86,36,45,76,89,3,92,84
22,0.851894,0.574725,0.853193,0.56894,0.625907,0.384447,0.139496,0.25806,0.344203,0.120433,0.286089,0.351852,0.166667,0.138554,0.584295,0.445312,0.148148,0.281337,0.488751,Juninho Capixaba,Red Bull Bragantino,Red Bull Bragantino,LB,LB,1,27,3000000,2026-12-31,17,1418,Brazil,Brazil,left,176,63,no,BRA1,Testing,2024,Lateral Equilibrado,0.489,23,76,69,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,3.0,10,5,13,13,22,59.5,29,35.5,39.0,37.0,32.5,68.0,70.5,13,25.5,67.0,57.0,96,86,93,82,82,71,21,61,53,48,51,57,10,7,82,66,11,25
