Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,xG_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,xG_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,xG_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.380645,0.226692,0.530822,1.0,0.324675,0.434533,0.670886,0.166667,0.433333,0.583333,1.0,1.0,1.0,1.0,Éverton Ribeiro,Bahia,Bahia,"RCMF, RW",RCMF,8,35,2300000,2025-12-31,30,2350,Brazil,Brazil,left,174,68,no,BRA1,Testing,2024,Segundo Volante Equilibrado,1.0,1,42,97,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,31.0,34,10,1,18.5,9,2.0,27.5,6.0,5.0,1,1.0,1,26,19,76,97,55,78,95,34,85,88,97,97,97
1,0.821935,0.708864,0.40081,0.927934,0.203463,0.097714,0.265823,0.125,0.166667,0.12963,0.904053,0.040698,0.055111,0.943893,Gregore,Botafogo,Botafogo,"RCMF, RDMF, LDMF",RCMF,8,30,2500000,2026-12-31,26,1831,Brazil,Brazil,right,181,78,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.944,2,42,95,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,7.0,6,20,2,27.0,37,23.5,33.5,18.0,30.0,3,36.5,37,83,85,52,95,35,11,44,20,57,28,92,13,11
2,0.292903,0.0,0.859838,0.636556,0.311688,0.445657,0.386076,0.25,1.0,1.0,0.766487,0.726744,0.540315,0.863443,C. de Pena,Bahia,Bahia,RCMF,RCMF,8,32,2200000,2024-12-31,27,812,Uruguay,"Uruguay, Italy",left,177,69,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.863,3,42,92,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,34.0,42,2,4,21.0,7,8.5,19.5,1.0,1.0,4,2.0,4,19,0,95,90,50,83,79,53,97,97,90,95,90
3,0.815484,0.694378,0.563314,0.520726,0.320346,0.427132,0.382911,0.208333,0.033333,0.078704,0.608466,0.30814,0.284256,0.760431,Pepê,Grêmio,Grêmio,"LCMF, RCMF, LDMF",LCMF,8,26,3000000,2025-12-31,20,1189,Brazil,Brazil,right,183,77,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.76,4,42,90,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,8.0,7,9,6,20.0,10,10.5,22.5,37.5,36.5,11,15.0,15,80,83,78,85,52,76,75,46,10,13,73,64,64
4,0.237419,0.199669,0.63409,0.737181,0.510823,0.134786,0.265823,0.666667,0.933333,0.671296,0.526431,0.151163,0.54786,0.756489,Jean Mota,Vitória,Vitória,"RCMF, LCMF, RW",RCMF,8,31,1000000,2026-12-31,16,535,Brazil,Brazil,left,172,72,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.756,5,42,88,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,37.0,35,6,3,10.0,30,23.5,3.0,2.0,3.0,15,28.0,3,11,16,85,92,76,28,44,92,95,92,64,33,92
5,0.849032,0.64592,0.661065,0.482476,0.181818,0.437047,0.329114,0.291667,0.266667,0.291667,0.527026,0.354651,0.49681,0.692661,Fernando Sobral,Cuiabá,Cuiabá,"RCMF, RDMF",RCMF,8,29,2000000,2026-12-31,28,1821,Brazil,Brazil,right,178,70,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.693,6,42,85,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,5.0,8,5,8,28.0,8,19.0,17.5,9.0,13.0,14,11.0,5,88,80,88,80,33,80,54,58,78,69,66,73,88
6,0.651613,0.368686,1.0,0.574008,0.108225,0.12722,0.234177,0.208333,0.2,0.314815,0.641827,0.447674,0.18164,0.664534,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,13,851,Chile,Chile,right,176,68,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.665,7,42,83,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,20.0,24,1,5,35.0,33,27.5,22.5,13.5,11.0,8,6.0,25,52,42,97,88,16,21,34,46,67,73,80,85,40
7,0.864516,0.548665,0.695574,0.434861,0.056277,0.091396,0.335443,0.166667,0.1,0.180556,0.995643,0.348837,0.216276,0.602945,Gabriel,Athletico Paranaense,Athletico Paranaense,"LCMF, LDMF, RCMF",LCMF,8,32,1800000,2025-12-31,15,1189,Brazil,"Brazil, Italy",right,170,69,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.603,8,42,80,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,4.0,10,4,10,38.5,38,17.5,27.5,27.5,27.0,2,12.0,20,90,76,90,76,8,9,58,34,34,35,95,71,52
8,0.730323,0.478907,0.51335,0.346332,1.0,1.0,1.0,0.583333,0.133333,0.546296,0.329866,0.546512,0.297974,0.52341,Jhon Jhon,Red Bull Bragantino,Red Bull Bragantino,"LCMF, LAMF, LW",LCMF,8,22,0,,14,797,Brazil,Brazil,right,178,73,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.523,9,42,78,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,13.0,13,14,13,1.0,1,1.0,5.5,22.5,7.0,33,4.0,13,69,69,66,69,97,97,97,86,46,83,21,90,69
9,0.994839,0.739625,0.435745,0.317859,0.116883,0.118027,0.186709,0.125,0.1,0.106481,0.415107,0.209302,0.076192,0.513654,Charles,Corinthians,Corinthians,RCMF,RCMF,8,28,1000000,2028-12-31,10,612,Brazil,Brazil,right,187,81,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.514,10,42,76,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,3.0,3,19,17,33.5,36,32.0,33.5,27.5,35.0,24,24.0,36,92,92,54,59,20,14,23,20,34,16,42,42,14
