Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Laterais_Certos_Percentil
59,0.33913,0.421729,0.524318,0.298611,0.160465,0.539829,0.380543,Pedro Henrique,Atlético GO,Atlético GO,LCB,LCB,4,31,1000000,2024-12-31,10,633,Brazil,Brazil,left,190,88,no,BRA1,Testing,2024,Zagueiro Defensivo,0.381,60,84,28,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,66.0,44,23,57.5,76.5,25,21,47,72,31,8,70
60,0.309565,0.493593,1.0,0.222222,0.072093,0.497647,0.380528,A. Rogel,Internacional,Internacional,RCB,RCB,4,27,600000,2026-06-30,8,559,Uruguay,"Uruguay, Italy",right,191,84,yes,BRA1,Testing,2024,Zagueiro Defensivo,0.381,61,84,27,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,71.0,31,1,73.0,79.0,29,15,63,98,13,5,65
61,0.417391,0.528914,0.302899,0.277778,0.206977,0.297365,0.376113,Pedro Henrique,Red Bull Bragantino,Red Bull Bragantino,RCB,RCB,4,29,3500000,2026-12-31,19,1799,Brazil,Brazil,right,188,82,no,BRA1,Testing,2024,Zagueiro Defensivo,0.376,62,84,26,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,53.0,27,65,64.0,74.0,60,36,67,22,23,11,28
62,0.453913,0.479659,0.195636,0.0,0.313953,0.305077,0.369976,Mariano,Atlético Mineiro,Atlético Mineiro,"RCB, RB, LB",RCB,4,38,250000,2024-12-31,9,592,Brazil,Brazil,right,177,69,no,BRA1,Testing,2024,Zagueiro Defensivo,0.37,63,84,25,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,48.0,35,76,84.0,62.0,59,42,58,9,0,26,29
63,0.401739,0.350884,0.155108,0.409722,0.574419,0.257832,0.361741,Manoel,Fluminense,Fluminense,"RCB, LCB",RCB,4,34,300000,2024-12-31,12,1065,Brazil,Brazil,right,181,82,no,BRA1,Testing,2024,Zagueiro Defensivo,0.362,64,84,23,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,56.0,52,82,36.5,26.0,68,33,38,2,56,69,19
64,0.328696,0.217006,0.283312,0.354167,0.411628,0.886608,0.354378,Kanu,Bahia,Bahia,LCB,LCB,4,27,3500000,2027-12-31,24,2402,Brazil,Brazil,right,186,80,no,BRA1,Testing,2024,Zagueiro Defensivo,0.354,65,84,22,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,69.0,69,70,47.0,49.0,2,17,17,16,44,41,97
65,0.288696,0.213447,0.4699,0.569444,0.397674,0.458766,0.34279,Cacá,Corinthians,Corinthians,"LCB, RCB",LCB,4,25,2000000,2025-01-31,25,2523,Brazil,Brazil,right,187,77,yes,BRA1,Testing,2024,Zagueiro Defensivo,0.343,66,84,21,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,73.0,70,30,13.5,51.0,34,13,16,64,83,39,59
66,0.389565,0.201709,0.397025,0.569444,0.348837,0.429427,0.341392,Thiago Heleno,Athletico Paranaense,Athletico Paranaense,"LCB, CB, RCB",LCB,4,36,400000,2024-12-31,19,1861,Brazil,Brazil,right,185,84,no,BRA1,Testing,2024,Zagueiro Defensivo,0.341,67,84,20,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,57.0,71,46,13.5,58.0,37,32,15,45,83,30,55
67,0.36,0.25854,0.439715,0.388889,0.374419,0.326539,0.341109,Kaique Rocha,Athletico Paranaense,Athletico Paranaense,RCB,RCB,4,23,3000000,2026-12-31,27,2588,Brazil,Brazil,right,195,87,no,BRA1,Testing,2024,Zagueiro Defensivo,0.341,68,84,19,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,62.0,66,38,40.5,54.0,57,26,21,54,51,35,32
68,0.415652,0.318481,0.307706,0.333333,0.316279,0.320836,0.334816,Bruno Alves,Cuiabá,Cuiabá,"LCB, RCB, CB",LCB,4,33,600000,2025-12-31,22,1685,Brazil,Brazil,right,185,81,no,BRA1,Testing,2024,Zagueiro Defensivo,0.335,69,84,17,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,54.0,55,64,51.0,61.0,58,35,34,23,39,27,30
69,0.356522,0.293723,0.400189,0.479167,0.339535,0.370201,0.33273,Zé Marcos,Juventude,Juventude,LCB,LCB,4,26,600000,2024-12-31,21,2083,Brazil,Brazil,left,188,77,no,BRA1,Testing,2024,Zagueiro Defensivo,0.333,70,84,16,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,63.0,56,45,24.5,60.0,46,25,33,46,70,28,45
70,0.333913,0.356703,0.39506,0.347222,0.293023,0.338497,0.321467,Zé Ivaldo,Cruzeiro,Cruzeiro,RCB,RCB,4,27,3500000,2026-12-31,24,2344,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Zagueiro Defensivo,0.321,71,84,15,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,67.5,49,47,48.0,65.5,52,19,41,44,42,22,38
71,0.17913,0.146896,0.442767,0.229167,0.439535,0.838923,0.314366,R. Arboleda,São Paulo,São Paulo,"RCB, CB",RCB,4,33,1200000,2027-12-31,25,2432,Ecuador,Ecuador,right,187,83,no,BRA1,Testing,2024,Zagueiro Defensivo,0.314,72,84,14,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,77.0,75,37,70.5,42.0,3,8,10,55,16,50,96
72,0.293913,0.039872,0.465378,0.458333,0.423256,0.476128,0.309857,Wagner Leonardo,Vitória,Vitória,LCB,LCB,4,25,1500000,2025-12-31,29,2858,Brazil,Brazil,left,186,76,no,BRA1,Testing,2024,Zagueiro Defensivo,0.31,73,84,13,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,72.0,83,32,27.0,46.0,31,14,1,61,67,45,63
73,0.426087,0.586927,0.23862,0.375,0.002326,0.115544,0.285036,Titi,Fortaleza,Fortaleza,LCB,LCB,4,36,200000,2024-12-31,17,1673,Brazil,"Brazil, Italy",left,188,83,no,BRA1,Testing,2024,Zagueiro Defensivo,0.285,74,84,11,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,51.0,18,73,44.5,83.0,78,39,78,13,47,1,7
