Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
21,B. Kuščević,Fortaleza,Fortaleza,"RCB, CB",RCB,4,28,1000000,2026-12-31,12,1088,Chile,"Chile, Croatia",right,186,81,yes,8.27,2.975535,3.472105,0.58,5.77,11.908818,BRA1,Testing,2024,0.5680590415662103,0.5009646215333234,0.5345118315497669
22,Fernando,Internacional,Internacional,"LCB, RDMF",LCB,4,37,2000000,2025-12-31,14,1092,Brazil,"Brazil, Portugal",right,183,76,no,7.99,2.882892,2.222766,0.16,6.72,25.62933,BRA1,Testing,2024,0.5762676549666275,0.5518017435201736,0.5640346992434006
23,Robert Renan,Al Shabab,Internacional,"LCB, LB",LCB,4,20,0,,12,1106,Brazil,Brazil,left,186,78,no,7.89,4.06875,1.222605,0.41,5.02,21.240858,BRA1,Testing,2024,0.4176316136475211,0.3786838079497521,0.3981577107986367
24,Eduardo Santos,Red Bull Bragantino,Red Bull Bragantino,"LCB, RCB",LCB,4,26,900000,2028-06-30,13,1120,Brazil,Brazil,right,196,90,no,8.92,3.375652,1.84575,0.96,7.87,16.07512,BRA1,Testing,2024,0.681899671261083,0.6929515142527511,0.6874255927569172
25,Gustavo Martins,Grêmio,Grêmio,"LCB, RCB",LCB,4,22,3000000,2027-12-31,14,1144,Brazil,Brazil,right,191,77,no,8.81,3.775428,3.06952,0.47,5.19,19.036944,BRA1,Testing,2024,0.6901474542707384,0.586825003935068,0.6384862291029033
26,Douglas Mendes,Red Bull Bragantino,Red Bull Bragantino,"RCB, RB",RCB,4,20,2000000,2028-06-30,13,1148,Brazil,Brazil,right,189,78,yes,7.45,3.1375,2.510235,0.47,5.11,11.44275,BRA1,Testing,2024,0.3611643080697151,0.3050247598200541,0.3330945339448846
27,M. Gamarra,Athletico Paranaense,Athletico Paranaense,LCB,LCB,4,23,2000000,2027-12-31,13,1179,Paraguay,Paraguay,left,183,79,no,8.7,3.66459,3.285009,0.53,6.55,19.011744,BRA1,Testing,2024,0.707514384869955,0.6929368459887062,0.7002256154293306
28,T. Cardona,Fortaleza,Fortaleza,LCB,LCB,4,28,1800000,2026-12-31,13,1220,Argentina,"Argentina, Spain",left,185,79,no,8.34,2.952285000000001,2.805176,0.96,6.26,13.275531,BRA1,Testing,2024,0.584677763471924,0.5328611917886152,0.5587694776302697
29,Thiago Santos,Fluminense,Fluminense,LCB,LCB,4,35,250000,2025-12-31,15,1223,Brazil,Brazil,right,181,78,no,8.76,4.34048,3.38675,0.59,5.73,24.72155,BRA1,Testing,2024,0.725750977539882,0.6783327222798174,0.7020418499098499
30,G. Mercado,Internacional,Internacional,"LCB, RCB",LCB,4,37,250000,2024-12-31,15,1226,Argentina,"Argentina, Spain",right,181,85,no,4.99,2.20011,2.201355,0.22,4.07,22.38704,BRA1,Testing,2024,0.07990336754278042,0.02610792197295225,0.05300564475786634
31,Pedro Henrique,Red Bull Bragantino,Red Bull Bragantino,RCB,RCB,4,28,3500000,2026-12-31,13,1274,Brazil,Brazil,right,188,82,no,7.35,3.88388,1.975485,0.42,4.37,16.81587,BRA1,Testing,2024,0.4063444933468087,0.3435618165313171,0.3749531549390628
32,Alix Vinicius,Atlético GO,Atlético GO,"LCB, CB",LCB,4,24,1000000,2026-12-31,15,1279,Brazil,Brazil,right,195,76,no,9.22,2.11,2.46122,0.99,8.61,15.8275,BRA1,Testing,2024,0.8161540323364026,0.7008705684839636,0.7585123004101832
33,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2500000,2026-12-31,16,1283,Argentina,"Argentina, Uruguay",left,193,79,no,8.0,3.157206,3.646500000000001,0.77,6.49,18.79795,BRA1,Testing,2024,0.64340626352869,0.6398775560315615,0.6416419097801258
34,Rodrigo Ely,Grêmio,Grêmio,RCB,RCB,4,30,3000000,2025-12-31,15,1321,Brazil,"Brazil, Italy",right,191,91,no,9.4,4.154904,4.153524,1.23,6.25,16.074688,BRA1,Testing,2024,0.8394572068939206,0.7627971416578125,0.8011271742758667
35,Vitão,Internacional,Internacional,RCB,RCB,4,24,8000000,2026-12-31,15,1326,Brazil,Brazil,right,185,78,no,6.31,2.30458,2.645136,0.27,5.82,24.0247,BRA1,Testing,2024,0.2931468823849938,0.2940028673641787,0.2935748748745863
36,David Luiz,Flamengo,Flamengo,"LCB, RCB",LCB,4,37,400000,2024-12-31,16,1364,Brazil,"Brazil, Portugal",right,189,84,no,5.34,1.718411,2.11079,0.26,4.81,20.451304,BRA1,Testing,2024,0.07856326569822396,0.05063265847082485,0.06459796208452441
37,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"CB, LCB, RCB",CB,4,25,2000000,2026-06-30,16,1429,Brazil,Brazil,right,190,85,no,8.75,3.717252,1.575808,0.5,6.48,22.865325,BRA1,Testing,2024,0.5695288744467777,0.5782692553091453,0.5738990648779615
38,Thiago Heleno,Athletico Paranaense,Athletico Paranaense,"LCB, RCB",LCB,4,35,400000,2024-12-31,15,1455,Brazil,Brazil,right,185,84,no,6.8,2.290061,2.287957,0.74,5.37,20.72114,BRA1,Testing,2024,0.2904130614617212,0.2718318797631463,0.2811224706124338
39,Titi,Fortaleza,Fortaleza,LCB,LCB,4,36,200000,2024-12-31,15,1462,Brazil,"Brazil, Italy",left,188,83,no,7.94,4.1272,1.59858,0.62,4.22,12.438855,BRA1,Testing,2024,0.3947841252996619,0.3501807559883011,0.3724824406439814
40,Lucas Halter,Botafogo,Botafogo,RCB,RCB,4,24,3000000,2027-12-31,16,1503,Brazil,Brazil,right,188,93,no,5.69,2.214123,1.199952,0.3,4.79,23.592597,BRA1,Testing,2024,0.0,0.0,0.0
41,G. Gómez,Palmeiras,Palmeiras,"RCB, CB, LCB",RCB,4,31,7500000,2026-12-31,15,1533,Paraguay,Paraguay,right,185,85,no,9.75,4.8706,3.872583,0.94,7.01,15.734628,BRA1,Testing,2024,0.9438370349191658,0.8911518942111076,0.9174944645651368
42,Léo Pereira,Flamengo,Flamengo,"LCB, LB",LCB,4,28,8000000,2027-12-31,19,1536,Brazil,Brazil,left,189,79,no,7.62,2.930368,1.230768,0.41,6.39,19.2794,BRA1,Testing,2024,0.4229805451491038,0.3809639839610218,0.4019722645550629
43,Zé Marcos,Juventude,Juventude,LCB,LCB,4,26,600000,2024-12-31,16,1558,Brazil,Brazil,left,188,77,no,7.68,2.831296,2.3125,0.81,6.02,17.442432,BRA1,Testing,2024,0.4633329455236491,0.4249214921831456,0.4441272188533975
44,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RCB, RB, RWB",RCB,4,31,2500000,2025-12-31,19,1575,Argentina,Argentina,right,178,73,no,10.46,5.372094999999999,0.9732500000000001,0.17,6.65,14.684334,BRA1,Testing,2024,0.8164308615640756,0.7353096315256322,0.775870246544854
45,A. Franco,São Paulo,São Paulo,LCB,LCB,4,27,3000000,2025-12-31,17,1577,Argentina,Argentina,right,183,77,no,6.96,2.797794,2.226888,0.46,6.32,24.652998,BRA1,Testing,2024,0.4442779092147642,0.4359223462925849,0.4401001277536746
46,F. Torres,Corinthians,Corinthians,"RCB, LCB",RCB,4,27,5000000,2027-12-31,17,1603,Ecuador,Ecuador,right,187,78,no,8.31,3.253496,2.243075,0.39,6.86,16.8954,BRA1,Testing,2024,0.6097904444546755,0.5647031389354198,0.5872467916950477
47,Murilo,Palmeiras,Palmeiras,LCB,LCB,4,27,10000000,2027-12-31,17,1645,Brazil,Brazil,right,188,78,no,7.77,3.82707,3.117376,0.44,5.78,16.245168,BRA1,Testing,2024,0.5428389385667419,0.511606804073081,0.5272228713199115
