Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,xG_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,xG_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,xG_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
20,0.730323,0.232446,0.276097,0.324675,0.310725,0.243671,0.291667,0.033333,0.115741,0.419248,0.133721,0.227273,0.151598,0.37958,Alex Santana,Corinthians,Corinthians,"RCMF, LDMF, LCMF",RCMF,8,29,2000000,2027-12-31,9,584,Brazil,"Brazil, Bulgaria",right,182,74,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.38,21,42,50,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,13.0,31,21,18.5,18,26.0,17.5,37.5,32.0,23,29.5,24.0,29,69,26,50,55,57,38,58,10,23,45,29,42,30
21,0.727742,0.366231,0.2147,0.341991,0.089321,0.186709,0.083333,0.166667,0.111111,0.452255,0.343023,0.333333,0.241779,0.368569,Ramiro,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,21,1217,Brazil,"Brazil, Italy",right,168,67,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.369,22,42,47,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,15.0,22,26,17.0,39,32.0,38.0,18.0,33.5,19,13.0,14.5,18,64,47,38,59,7,23,9,57,20,54,69,65,57
22,0.326452,0.290486,0.406545,0.398268,0.129655,0.382911,0.625,0.133333,0.12037,0.634041,0.215116,0.19697,0.202555,0.361189,F. Vera,Atlético Mineiro,Atlético Mineiro,"RCMF, RDMF",RCMF,8,24,4500000,2027-12-31,19,1408,Argentina,Argentina,right,180,74,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.361,23,42,45,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,33.0,28,11,12.0,32,10.5,4.0,22.5,31.0,10,22.0,26.5,23,21,33,73,71,23,75,90,46,26,76,47,36,45
23,0.765161,0.229237,0.170868,0.354978,0.73449,0.386076,0.333333,0.4,0.393519,0.211775,0.261628,0.454545,0.319976,0.353493,Ronald,Criciúma,Criciúma,"LCMF, LW, RCMF",LCMF,8,27,800000,2025-12-31,23,1181,Brazil,Brazil,right,171,74,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.353,24,42,42,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,10.0,33,32,16.0,2,8.5,15.0,7.0,8.0,40,17.5,7.0,11,76,21,23,61,95,79,64,83,80,4,58,83,73
24,0.19871,0.231401,0.317401,0.675325,0.52877,0.572785,0.375,0.066667,0.314815,0.382683,0.383721,0.0,0.384929,0.330749,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,13,1095,Brazil,Brazil,right,173,71,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.331,25,42,40,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,38.5,32,18,4.0,5,4.0,12.0,32.0,11.0,28,9.5,40.5,9,8,23,57,90,88,90,71,23,73,33,77,3,78
25,0.843871,0.589076,0.201877,0.017316,0.083143,0.129747,0.125,0.033333,0.069444,0.44422,0.075581,0.318182,0.174656,0.319713,Zé Welison,Fortaleza,Fortaleza,"LCMF, RCMF, LDMF",LCMF,8,29,2000000,2026-12-31,17,875,Brazil,Brazil,right,177,74,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.32,26,42,38,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,6.0,8,29,41.0,40,38.5,33.5,37.5,38.0,21,33.0,17.5,27,85,80,30,2,4,8,20,10,9,50,21,58,35
26,0.507097,0.440073,0.23425,0.246753,0.24158,0.496835,0.208333,0.2,0.185185,0.401298,0.034884,0.136364,0.213026,0.278441,Newton,Criciúma,Criciúma,"RCMF, RDMF",RCMF,8,24,250000,2027-12-31,24,1951,Brazil,Brazil,right,188,78,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.278,27,42,35,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,25.0,17,25,25.0,23,5.0,22.5,13.5,26.0,25,39.0,31.5,22,40,59,40,40,45,88,46,67,38,40,7,25,47
27,0.730323,0.341026,0.203273,0.060606,0.197149,0.177215,0.041667,0.0,0.0,0.358693,0.023256,0.0,0.0,0.275287,Rômulo,Internacional,Internacional,"RCMF, RDMF, DMF",RCMF,8,24,900000,2027-12-31,22,1455,Brazil,Brazil,right,182,75,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.275,28,42,33,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,13.0,23,28,37.0,26,34.5,40.5,42.0,42.0,32,41.0,40.5,42,69,45,33,11,38,17,3,0,0,23,2,3,0
28,0.181935,0.184451,0.26218,0.142857,0.599191,0.424051,0.166667,0.3,0.314815,0.275953,0.383721,0.606061,0.432788,0.244423,Denilson,Cuiabá,Cuiabá,"LCMF, LDMF",LCMF,8,23,2000000,2027-12-31,26,1813,Brazil,Brazil,right,180,75,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.244,29,42,30,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,40.0,37,24,31.0,4,7.0,27.5,8.0,11.0,38,9.5,5.0,8,4,11,42,26,90,83,34,80,73,9,77,88,80
29,0.629677,0.195648,0.109375,0.376623,0.313026,0.234177,0.333333,0.066667,0.111111,0.325293,0.232558,0.19697,0.197862,0.230974,Barreto,Criciúma,Criciúma,"RCMF, DMF, LCMF",RCMF,8,28,500000,2024-12-31,24,2077,Brazil,"Brazil, Italy",right,181,78,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.231,30,42,28,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,21.0,36,35,14.0,16,27.5,15.0,32.0,33.5,35,19.5,26.5,24,50,14,16,66,61,34,64,23,20,16,53,36,42
