Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
18,Diego Costa,Krasnodar,São Paulo,"RCB, LCB",RCB,4,25,3500000,2029-06-30,14,1007,Brazil,Brazil,right,184,73,no,8.4,4.199552,3.399228,2.593305,15.190568,4.381248,0.53625,0.18,0.54,4.648,BRA1,Testing,2024,0.7809354054529327,0.7231111165526038,0.7520232610027684
19,Antônio Carlos,Fluminense,Fluminense,"RCB, LCB",RCB,4,31,1800000,2026-12-31,11,1014,Brazil,Brazil,right,190,79,no,7.37,2.30887,3.372784,3.995217,15.354072,5.413892,0.7120000000000001,0.27,0.27,3.195945,BRA1,Testing,2024,0.6366983240629028,0.6827384264537419,0.6597183752583223
20,Tobias Figueiredo,Criciúma,Criciúma,"LCB, CB",LCB,4,30,1500000,2026-12-31,12,1031,Portugal,Portugal,right,188,82,yes,9.52,3.494261,3.5784,3.315312,10.215354,4.801072,0.351076,0.0,0.35,2.79419,BRA1,Testing,2024,0.6949338323169613,0.6969368236272089,0.6959353279720851
21,B. Kuščević,Fortaleza,Fortaleza,"RCB, CB",RCB,4,28,1000000,2026-12-31,12,1088,Chile,"Chile, Croatia",right,186,81,yes,8.27,2.975535,3.472105,2.396899,7.940405999999999,2.645582,0.165438,0.0,0.33,1.986836,BRA1,Testing,2024,0.5064576063039236,0.4348020614387154,0.4706298338713195
22,Fernando,Internacional,Internacional,"LCB, RDMF",LCB,4,37,2000000,2025-12-31,14,1092,Brazil,"Brazil, Portugal",right,183,76,no,7.99,2.882892,2.222766,1.237467,11.865248,4.700416,0.495,0.08,1.98,4.200984,BRA1,Testing,2024,0.3617672084507198,0.3381678887723996,0.3499675486115597
23,Robert Renan,Al Shabab,Internacional,"LCB, LB",LCB,4,20,0,,12,1106,Brazil,Brazil,left,186,78,no,7.89,4.06875,1.222605,2.3592,12.284972,6.59456,0.975492,0.65,1.79,4.960575,BRA1,Testing,2024,0.6578994597561393,0.5401648213973609,0.5990321405767501
24,Eduardo Santos,Red Bull Bragantino,Red Bull Bragantino,"LCB, RCB",LCB,4,26,900000,2028-06-30,13,1120,Brazil,Brazil,right,196,90,no,8.92,3.375652,1.84575,2.491062,11.33137,3.938814,1.203811,0.319968,0.96,2.571884,BRA1,Testing,2024,0.2607151811575476,0.2946515839875879,0.2776833825725677
25,Gustavo Martins,Grêmio,Grêmio,"LCB, RCB",LCB,4,22,3000000,2027-12-31,14,1144,Brazil,Brazil,right,191,77,no,8.81,3.775428,3.06952,2.753176,12.905406,4.482569000000001,0.316,0.08,0.16,2.281968,BRA1,Testing,2024,0.6315661337029536,0.6091727330904297,0.6203694333966917
26,Douglas Mendes,Red Bull Bragantino,Red Bull Bragantino,"RCB, RB",RCB,4,20,2000000,2028-06-30,13,1148,Brazil,Brazil,right,189,78,yes,7.45,3.1375,2.510235,2.273823,7.445375999999999,3.760094,0.472,0.235,0.78,2.272663,BRA1,Testing,2024,0.1918933370711545,0.2064880082218786,0.1991906726465165
27,M. Gamarra,Athletico Paranaense,Athletico Paranaense,LCB,LCB,4,23,2000000,2027-12-31,13,1179,Paraguay,Paraguay,left,183,79,no,8.7,3.66459,3.285009,4.734762,16.717448,7.634649,0.609246,0.15,0.46,4.34826,BRA1,Testing,2024,0.9575219370109651,0.9463136629262344,0.9519177999685997
