Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
72,Lucas Freitas,Juventude,Juventude,"LCB, LB",LCB,4,23,450000,2025-12-31,9,735,Brazil,"Brazil, Portugal",left,184,76,yes,7.71,3.062304,1.590211,0.73,5.87,3.673517,14.324375,4.771728,17.879521,0.735,0.49,0.86,2.94,BRA1,Testing,2024,0.495479146723982,0.4918746912686052,0.5027272811012052
73,Luan Cândido,Red Bull Bragantino,Red Bull Bragantino,"LCB, LB",LCB,4,23,7000000,2026-12-31,23,2150,Brazil,Brazil,left,184,76,no,9.71,4.017828,2.596115999999999,0.54,7.51,1.841448,7.578760999999999,3.13628,12.429126,0.5439390000000001,0.253346,0.21,2.885991,BRA1,Testing,2024,0.6110295790738586,0.608945916497908,0.6211703852246475
74,Kaique Rocha,Athletico Paranaense,Athletico Paranaense,RCB,RCB,4,23,3000000,2026-12-31,27,2588,Brazil,Brazil,right,195,87,no,7.37,2.7492,2.465871,0.56,5.71,2.19248,12.87026,5.146404,16.238764,0.625,0.27693,0.9,3.619538,BRA1,Testing,2024,0.4437041922107343,0.4432807545268911,0.4516228260759053
75,Igor Gomes,Internacional,Internacional,"RCB, RB",RCB,4,23,1500000,2028-12-31,13,798,Brazil,Brazil,right,185,76,no,10.38,5.076382,2.25515,0.56,6.86,1.35485,9.702236,4.05783,17.590392,1.2418,0.5625,1.24,3.04227,BRA1,Testing,2024,0.6971479884525603,0.7079789022124172,0.7154432323698507
76,Vitor Reis,Palmeiras U20,Palmeiras,RCB,RCB,4,18,0,,13,1157,Brazil,Brazil,right,186,77,no,8.32,4.434132,3.345396,0.54,6.12,1.941876,11.3554,5.365539999999999,22.787294,0.462834,0.0,0.31,3.501896,BRA1,Testing,2024,0.6869715646230449,0.6579369759053194,0.6847820790206831
77,Douglas Mendes,Red Bull Bragantino,Red Bull Bragantino,"RCB, RB",RCB,4,20,2000000,2028-06-30,17,1465,Brazil,Brazil,right,189,78,yes,7.99,3.74886,2.209536,0.43,5.05,2.64081,8.233745,4.115745,11.731392,0.4305,0.245702,0.86,2.458513,BRA1,Testing,2024,0.2916377799658485,0.3031246116836707,0.3028329546610399
78,Rômulo,Atlético Mineiro U23,Atlético Mineiro,"LCB, RCB",LCB,4,20,0,,8,564,Brazil,Brazil,right,182,79,no,8.14,3.353693,1.91419,0.16,7.17,2.235625,14.044963,6.225816,17.234277,1.120032,0.8,0.8,5.10675,BRA1,Testing,2024,0.8038297648646131,0.7705093332600366,0.8016003826355418
79,Robert Renan,Al Shabab,Internacional,"LCB, LB",LCB,4,20,0,,12,1106,Brazil,Brazil,left,186,78,no,7.89,4.06875,1.222605,0.41,5.02,2.3592,12.284972,6.59456,21.240858,0.975492,0.65,1.79,4.960575,BRA1,Testing,2024,0.7589329723059561,0.6563067151042218,0.7205923274727574
80,Gustavo Martins,Grêmio,Grêmio,"RCB, LCB",RCB,4,22,3000000,2027-12-31,18,1479,Brazil,Brazil,right,191,77,no,9.07,4.018484,2.738754,0.55,5.36,2.919854,13.931071,5.534578,19.6555,0.364,0.06,0.12,2.978184,BRA1,Testing,2024,0.6852483036741852,0.6296329298971148,0.6694931868277817
81,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,11,831,Brazil,Brazil,right,182,78,no,9.86,4.656267,3.246969,0.32,8.32,2.27487,14.076,6.712558,18.519516,0.1075,0.0,0.87,4.54895,BRA1,Testing,2024,0.9086429686957282,0.8409436618246469,0.8908305168497564
82,Natã,Grêmio,Grêmio,"LCB, RCB",LCB,4,23,0,,11,563,Brazil,Brazil,right,182,76,no,10.71,3.679824,3.679824,1.44,6.96,2.079968,7.032991000000001,3.040128,11.670295,0.16,0.0,0.0,0.95992,BRA1,Testing,2024,0.5496488542281117,0.5431941472955396,0.5564388061158174
83,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,29,2915,Brazil,Brazil,right,190,85,no,9.4,3.133014,3.743808,0.7,8.08,3.071904,18.22299,4.989204,21.642575,0.383045,0.195,0.74,4.190555000000001,BRA1,Testing,2024,0.7900687718158486,0.7661583449078587,0.7923783724354664
