Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
0,1.0,0.878541,1.0,0.427605,0.415475,0.435897,0.627161,0.222212,0.419355,0.622951,0.383484,0.655023,0.29,1.0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RAMF,10,30,8000000,2027-12-31,21,1827,Brazil,"Brazil, Italy",left,176,74,no,BRA1,Testing,2024,Extremo Organizador,1.0,1,58,98,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,1.0,4,1,27,29,18.5,14,34.0,17.0,14.5,18.0,4.0,26.0,98,93,98,53,50,68,75,41,70,75,68,93,55
1,0.164112,0.32389,0.388038,0.85249,0.891697,0.384615,0.440831,0.692317,0.870968,0.961749,0.494792,0.475,0.9,0.945768,Y. Soteldo,Grêmio,Grêmio,"LWF, LW, LAMF",LWF,11,27,7000000,2027-06-30,12,942,Venezuela,Venezuela,left,160,54,no,BRA1,Testing,2024,Extremo Organizador,0.946,2,58,96,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,41.0,34,20,3,4,25.0,30,2.0,2.0,3.0,14.0,14.5,2.0,29,41,65,94,93,56,48,96,96,94,75,75,96
2,0.069224,0.371664,0.486981,1.0,0.968663,0.461538,0.590695,0.500015,0.483871,0.945355,0.247396,0.15554,0.51,0.944509,Ferreira,São Paulo,São Paulo,"LAMF, LW",LAMF,10,26,5000000,2027-12-31,19,958,Brazil,Brazil,right,176,65,no,BRA1,Testing,2024,Extremo Organizador,0.945,3,58,94,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,47.0,30,11,1,2,14.0,16,8.5,11.0,4.0,29.0,34.0,9.0,18,48,81,98,96,75,72,85,81,93,50,41,84
3,0.208743,0.395822,0.291368,0.799427,1.0,0.717949,1.0,0.461555,0.709677,0.677596,0.488281,0.314307,0.61,0.918788,Estevão,Palmeiras U20,Palmeiras,RAMF,RAMF,10,17,0,,21,1428,Brazil,Brazil,left,170,62,no,BRA1,Testing,2024,Extremo Organizador,0.919,4,58,93,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,35.0,26,31,5,1,4.0,1,10.5,4.5,10.0,16.0,22.0,8.0,39,55,46,91,98,93,98,81,92,82,72,62,86
4,0.249886,0.336682,0.539598,0.748557,0.927601,0.25641,0.675168,0.107131,0.645161,0.797814,0.234375,0.0,0.88,0.910859,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,19,1051,Argentina,Argentina,right,178,64,no,BRA1,Testing,2024,Extremo Organizador,0.911,5,58,91,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,31.0,32,9,6,3,40.0,12,49.0,6.0,5.0,31.5,52.5,3.0,46,44,84,89,94,31,79,15,89,91,45,9,94
5,0.205111,0.396613,0.375956,0.870308,0.797653,0.487179,0.713636,0.319143,0.225806,0.234973,0.568125,0.183333,0.18,0.857421,Wesley,Internacional,Internacional,"LAMF, RAMF, LW",LAMF,10,25,5500000,2026-12-31,20,1637,Brazil,Brazil,right,175,64,no,BRA1,Testing,2024,Extremo Organizador,0.857,6,58,89,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,37.0,25,21,2,6,12.0,9,24.0,32.5,43.0,11.0,31.0,36.5,36,56,63,96,89,79,84,58,43,25,81,46,37
6,0.232807,0.073612,0.29682,0.803731,0.862484,0.179487,0.481024,0.200012,0.16129,0.442623,0.138875,0.08888,0.12,0.827729,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,BRA1,Testing,2024,Extremo Organizador,0.828,7,58,87,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,33.0,51,30,4,5,52.0,26,39.5,43.0,29.0,41.0,43.0,46.5,43,12,48,93,91,10,55,31,25,50,29,25,19
7,0.558074,0.67255,0.692752,0.399116,0.230617,0.641026,0.378925,0.681817,0.258065,0.601093,0.216992,0.140518,0.44,0.781776,Matheusinho,Criciúma,Criciúma,"RW, LCMF, LWF",RW,10,26,1300000,2024-12-31,17,1060,Brazil,Brazil,right,164,58,no,BRA1,Testing,2024,Extremo Organizador,0.782,8,58,86,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,6.0,11,3,30,43,5.5,35,3.0,29.5,16.5,35.0,38.0,13.0,89,81,94,48,25,90,39,94,49,71,39,34,77
8,0.374543,0.786742,0.555212,0.412387,0.363699,0.307692,0.366075,0.200012,0.709677,0.639344,0.299479,0.58,0.2,0.748279,Gabriel Carvalho,Internacional,Internacional,"RAMF, RW, LAMF",RAMF,10,17,0,,10,776,Brazil,Brazil,right,168,67,no,BRA1,Testing,2024,Extremo Organizador,0.748,9,58,84,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,13.0,7,7,28,30,32.0,37,39.5,4.5,12.0,26.0,5.0,34.5,77,87,87,51,48,44,36,31,92,79,55,91,40
9,0.216512,0.408876,0.371468,0.61291,0.688419,0.230769,0.259693,0.642876,0.096774,0.098361,0.338542,0.222233,0.05,0.745521,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,BRA1,Testing,2024,Extremo Organizador,0.746,10,58,82,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,34.0,23,22,13,8,45.0,42,4.0,50.0,54.0,21.5,28.0,53.0,41,60,62,77,86,22,27,93,13,6,62,51,8
10,0.176752,0.749748,0.576951,0.482862,0.299424,0.512821,0.566216,0.576936,0.16129,0.295082,0.492187,0.520875,0.23,0.739771,Lucas Moura,São Paulo,São Paulo,"RAMF, AMF, LAMF",RAMF,10,32,5000000,2026-12-31,17,1437,Brazil,Brazil,right,174,70,no,BRA1,Testing,2024,Extremo Organizador,0.74,11,58,81,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,40.0,8,6,24,37,10.5,19,6.0,43.0,40.0,15.0,10.0,30.5,31,86,89,58,36,81,67,89,25,31,74,82,47
11,0.815809,0.9369,0.705304,0.233373,0.115503,0.435897,0.780051,0.230762,0.322581,0.721311,0.921875,0.989583,0.09,0.727328,Ó. Romero,Botafogo,Botafogo,"RW, RAMF",RW,10,32,2000000,2024-12-31,17,761,Paraguay,Paraguay,left,176,73,no,BRA1,Testing,2024,Extremo Organizador,0.727,12,58,79,0.272661,0.394296,0.331651,0.433913,0.41535,0.367374,0.449828,0.291655,0.313682,0.444413,0.301567,0.273016,0.308448,2.0,2,2,49,54,18.5,6,32.0,24.0,8.0,2.0,2.0,49.5,96,96,96,15,6,68,89,44,58,86,96,96,14
